Evaluations,BestCost
100,2759.998389385268
292,2665.3538530043506
484,2603.806371387445
676,2543.490426988988
868,2450.9515011354815
1060,2416.1869696829713
1252,2382.0042603127586
1444,2352.5523013768734
1636,2317.129220147162
1828,2265.6185907004237
2020,2224.941703211709
2212,2201.9996527033254
2404,2151.122793244079
2596,2137.0421338251867
2788,2127.883121985319
2980,2079.4722890964404
3172,2078.6675764855845
3364,2013.1444931047554
3556,2003.7152395024493
3748,1937.6535200818626
3940,1920.421052517335
4132,1910.991798915029
4324,1891.7706563477423
4516,1881.066696307766
4708,1862.7383112607151
5092,1862.284625901112
5284,1853.125614061244
6052,1827.9011300435288
6244,1823.9472567680805
6436,1796.5128886807777
6628,1792.559015405329
6820,1784.9539267860716
7204,1783.0021320047986
7780,1770.6719282426886
8356,1769.6136868626959
8548,1768.080258909282
8932,1765.895264721143
9124,1745.3517263429483
9316,1743.1667321548093
9700,1733.4900523280762
10276,1723.3913372388706
10468,1690.1810871801472
10852,1686.056694463639
11236,1685.57909039998
11620,1653.0295992124034
11812,1649.9468279555024
12196,1646.6138757851254
12388,1629.9256708689811
12580,1624.8948875067972
12772,1610.6162296881823
12964,1610.0352845888906
13156,1591.5190384442192
13540,1584.0202750611077
14500,1569.0528574525022
14692,1556.2218682022205
15460,1548.612452095266
15844,1548.5135398781088
16612,1548.1188917837237
17380,1545.1346722215776
18724,1544.255735352792
18916,1541.5741101185804
20068,1535.9044944352843
20260,1532.6007873671756
22756,1531.7694519797037
22948,1531.7694519797035
24100,1521.1639691129435
26596,1516.677390115503
27172,1496.9681215618243
27556,1495.7743632119461
28132,1489.8740971523493
29668,1484.1233639310065
30052,1478.0069482366052
31396,1477.3016327463706
31780,1473.569076545122
33124,1470.3165596736087
34468,1468.4856632770704
35044,1461.609902874501
36004,1459.629016192614
36772,1453.0396228123445
43876,1449.690457433095
46564,1446.8504872678307
48484,1446.842987616869
48676,1446.6777067455962
56932,1446.3342098266091
94948,1431.7899402794715
95524,1431.7899402794712
95716,1408.0809897455536
99172,1404.6790593186486
99364,1393.1872407338105
102052,1384.469855724424
107236,1379.7321638103524
107428,1379.5883329881483
108004,1375.5222832898196
108388,1369.76998307701
108964,1362.6971813575572
109540,1362.697181357557
