Evaluations,BestCost
0,2606.9854429599404
100,1374.6698921616621
292,1358.0277519532397
484,1322.2049618024366
676,1284.009056238966
868,1264.7194871773054
1060,1252.456025420304
1252,1250.562157726303
1444,1248.3611222480754
1636,1246.6829108132624
2404,1246.6829108132622
2596,1246.682910813262
3172,1244.339464615608
3556,1243.8569519594175
7012,1223.6500310216863
7204,1196.5197339227095
7396,1191.901906060997
7780,1186.1675872089697
9124,1178.3464032962547
16036,1171.5750714544306
16228,1169.6162516028755
16420,1169.6162516028753
