Evaluations,BestCost
0,3852.260138981882
100,1834.4083927340969
301,1793.7782179457727
502,1769.1910956094553
703,1711.6723695233766
904,1692.3780213284028
1105,1673.2638138729496
1306,1665.3638943335961
1507,1646.2941595135721
1708,1641.3969156351563
1909,1628.0764965163225
2311,1621.5323102879097
2512,1620.0194917926933
2713,1614.6834958128743
2914,1611.689596134012
3115,1589.4018422825175
3316,1587.9435999446996
3517,1586.8212644789141
3718,1576.2751040980702
3919,1568.7735335130656
4120,1568.7670119319068
4321,1555.3541504224754
4723,1555.1207173647422
5125,1554.0328678119831
5527,1552.5746254741653
9949,1552.574625474165
18190,1551.6418255442306
19396,1551.2169010204182
344413,1549.7310194569338
344614,1543.5166133544067
345217,1542.9588944167626
347026,1541.965746349501
