Instance,BestCost,MeanCost,StdDevCost,MeanIterations,Satisfability
A-n32-k5,787.0818888551103,806.4045116678474,20.35318569058957,38461.6,31/31
A-n33-k5,671.7860901384514,676.1268852909191,2.609804095750266,81392.8,32/32
A-n33-k6,743.4414856895312,755.5167036676719,14.13969048920313,135037.6,32/32
A-n34-k5,787.430439254024,797.6820949751624,14.615733832391596,80740.0,33/33
A-n36-k5,818.3925028947726,831.2159153176062,11.981977101288413,89840.8,35/35
A-n37-k5,672.4652201521651,682.1284442402406,10.77259742610075,57008.8,36/36
A-n37-k6,996.6548198795851,1016.0319943977308,18.487896939858395,113072.8,36/36
A-n38-k5,759.2803274313436,786.7004759618914,19.15477863601956,72061.6,37/37
A-n39-k5,841.2532953315203,860.3151762568028,13.877584951358523,159229.6,38/38
A-n39-k6,836.0019282037495,862.771385023877,19.30528278064756,175472.8,38/38
A-n44-k6,948.0267842692172,977.1550132120672,24.89439677330193,106352.8,43/43
A-n45-k6,966.7150558159587,1108.7724814539447,72.9622534869181,121328.8,44/44
A-n45-k7,1174.3055642084028,1184.7873082565686,12.54973192744123,100669.6,44/44
A-n46-k7,926.01294574208,1002.4400824394364,41.133140051476346,151165.6,45/45
A-n48-k7,1112.2085689598548,1139.0766482234571,26.093630109006018,187223.2,47/47
A-n53-k7,1099.0660938182257,1109.1920933471224,12.081929199184788,96829.6,52/52
A-n54-k7,1218.3697617778369,1249.9294094574914,29.387247753749644,144829.6,53/53
A-n55-k9,1082.539990148421,1126.6132005740774,24.66946504808304,54128.8,54/54
A-n60-k9,1423.9770987256395,1460.4921583271343,37.38348777649761,148554.4,59/59
A-n61-k9,1098.3144965111112,1154.7378458046087,39.89703410395156,223895.2,60/60
A-n62-k8,1360.2964934676463,1377.426736096941,15.131601175655923,208688.8,61/61
A-n63-k10,1351.1367738775689,1411.2213712390303,34.63944881246508,176816.8,62/62
A-n63-k9,1690.5692584139524,1731.2856520835114,28.900781396183557,114032.8,62/62
A-n64-k9,1443.7032950634425,1487.7880440405977,29.771062700164983,140874.4,63/63
A-n65-k9,1255.5148715419384,1282.1365440893676,41.06419296802884,107658.4,64/64
A-n69-k9,1194.061144705281,1224.0538160759158,20.4232929680205,195824.8,68/68
A-n80-k10,1866.3552720721352,1939.7748071375436,53.601326547408426,219172.0,79/79
A-n45-k7,1153.0438794346296,1177.844814507121,21.009094915787166,111344.8,44/44
A-n45-k6,998.0597785104195,1101.422711927638,63.606589265379675,204968.4,44/44
A-n45-k7,1162.3016162882334,1178.906127412557,13.997436787522716,128096.8,44/44
A-n60-k9,1372.5763889584769,1429.1418533007047,29.82457783533977,261940.0,59/59
A-n80-k10,1919.7319265926194,1958.6414681422539,43.313500119535014,145945.6,79/79
A-n32-k5,787.0818888551103,815.8843501406377,25.476087794754925,39201.8,31/31
A-n45-k6,1000.3307551134496,1118.382794986534,75.34835159274374,48741.6,44/44
A-n45-k7,1174.3055642084028,1196.0936226236124,17.733417688086778,48974.4,44/44
A-n60-k9,1405.3580841844605,1453.7615757556819,37.70479246451458,154460.0,59/59
A-n80-k10,1878.539524757863,1957.9570956868981,63.193373510707,59033.2,79/79
A-n32-k5,787.0818888551103,796.4844034567036,15.45963818482309,162027.0,31/31
A-n33-k5,677.3779947116572,687.4693559507008,10.937658374145272,20058.4,32/32
A-n33-k6,743.4414856895312,758.1682634728182,20.183206467441334,66786.4,32/32
A-n34-k5,788.796086486464,806.1418874915853,13.077734910115334,38980.0,33/33
A-n36-k5,806.7828790914791,830.9016422129944,14.75627703938105,30044.0,35/35
A-n37-k5,672.4652201521651,688.0392597054782,15.489161456048777,180388.0,36/36
A-n37-k6,977.6033450166053,1005.0688008517452,25.161856122860048,89062.6,36/36
A-n38-k5,762.9045301675378,788.4945245879546,20.531228823714322,113987.6,37/37
A-n39-k5,837.6522019591907,858.8151269017304,14.81892993542798,117283.0,38/38
A-n39-k6,835.4425323771893,873.9523990498592,24.203600922510056,50059.2,38/38
A-n44-k6,967.3593806688192,1005.6267802532357,38.02170517550858,51113.8,43/43
A-n45-k6,1010.874790223859,1109.8921789455248,73.76728671481641,75405.6,44/44
A-n45-k7,1154.590674052035,1174.2634367142678,14.748939016488576,95779.2,44/44
A-n46-k7,923.9550603541087,964.0798625361234,40.27621281572785,44474.4,45/45
A-n48-k7,1130.970972676317,1152.2326358758355,19.455610977056498,150936.4,47/47
A-n53-k7,1097.7530102309472,1114.1817876375567,10.868147351358356,123795.4,52/52
A-n54-k7,1193.0850874386333,1259.443943153758,41.118382576849484,102918.0,53/53
A-n55-k9,1074.9588506698997,1133.7784650719254,60.64865001534624,92900.0,54/54
A-n60-k9,1413.2436457118672,1444.893258710795,23.44799481797818,237180.0,59/59
A-n61-k9,1141.5828745222723,1181.7633999217933,32.90986160574964,116290.4,60/60
A-n62-k8,1349.3067545685642,1386.0292658319408,29.513224171488357,80257.2,61/61
A-n63-k10,1339.9716093678965,1406.1694375015109,65.22891255460847,103060.0,62/62
A-n63-k9,1671.3015231403651,1728.773967483528,42.50525326173788,223438.4,62/62
A-n64-k9,1484.3181141489008,1551.0493091139203,51.2355329179174,169744.0,63/63
A-n65-k9,1271.7693020283184,1371.6064002497756,68.22715879950832,51286.8,64/64
A-n69-k9,1246.4670669265618,1282.5010373271436,28.67947266739137,72379.6,68/68
A-n80-k10,1879.9625510317935,1958.544261992884,61.91143583488605,178748.8,79/79
A-n32-k5,787.0818888551103,819.2792203322915,19.6079689511362,94747.2,31/31
A-n33-k5,671.4316131525316,678.9957385542947,6.540388969986976,165469.6,32/32
A-n33-k6,742.6932623609395,779.8245130538473,21.78734417154466,71340.4,32/32
A-n34-k5,787.430439254024,795.7906911675133,15.362523075863809,136500.0,33/33
A-n36-k5,812.9845372769694,827.0994516395747,15.963744313595207,110853.4,35/35
A-n37-k5,672.4652201521651,687.0326290209163,18.305428035992747,125706.4,36/36
A-n37-k6,984.4926917018089,996.0196803993688,11.407958403476576,150367.6,36/36
A-n38-k5,754.4192085458416,806.8810819846375,42.214022059942955,182990.8,37/37
A-n39-k5,848.7284431129917,864.4139501095278,17.256902147399167,186097.2,38/38
