Evaluations,BestCost
100,2785.902164743779
292,2665.996479194397
484,2621.5235166401203
676,2552.7402766386813
868,2451.9090930584316
1060,2375.4634696890726
1252,2302.6789147990416
1444,2258.7705295775936
1636,2168.2961291074093
1828,2157.561848768899
2020,2123.5713001619833
2212,2079.703064278644
2404,2062.748449273934
2596,2018.655955029402
2788,1993.696345004129
2980,1960.5900389123274
3172,1939.9089049565803
3364,1933.6691121700678
3556,1922.3531794320234
3748,1916.1356407319768
3940,1898.4296347993854
4132,1888.593099792026
4324,1873.7366316518744
4516,1789.1775130386784
4708,1772.2237480808055
4900,1762.1337293612378
5092,1760.2743722050056
5284,1705.7322701806759
5476,1676.8110145749338
5668,1650.7655389344718
5860,1642.3849508870128
6052,1638.9221294255744
6244,1634.7446088699858
6628,1631.8185528548481
6820,1630.4368587654042
7012,1621.4925102778466
7204,1620.854273751429
7396,1610.0106226827036
7588,1607.7456722034487
7780,1602.0103126938186
7972,1598.2255536037505
8164,1595.8730465816864
8356,1594.3208339867326
8740,1581.868283844346
9124,1580.7444408151846
9508,1580.509783093797
9700,1569.926396720035
10084,1569.0821714778415
10276,1555.420421157062
10660,1552.8741952059793
10852,1551.4075475893217
11044,1549.456755130215
11620,1524.0446524176916
11812,1521.2162252929456
12004,1521.0700553373886
12196,1500.0071729623182
12388,1492.9643205148795
12580,1488.0217686524754
12772,1486.4939046074749
12964,1485.0272569908172
14116,1484.612288734808
14308,1481.8425386963245
14500,1478.7029206278955
15076,1477.9209710229984
15844,1477.9017415122269
16036,1477.0405782190414
16228,1476.3671003164568
16420,1469.4059045956242
16612,1467.0533109496203
16996,1464.2248838248743
17380,1460.6145301242207
17956,1457.7496457894392
20260,1453.4177225627893
22180,1452.2430464750023
23140,1452.080718094514
23716,1443.2424396041927
24292,1439.7198424011804
24484,1369.0073011939999
24676,1342.9077688576085
24868,1342.144066368624
25060,1341.3710344539738
25252,1327.7705452138675
25444,1322.6235306301644
25636,1320.2780301315413
25828,1315.1310155478382
26020,1311.3829514500428
26212,1310.46298338878
26404,1310.4629833887798
26980,1310.4070636153526
27364,1303.8447624502662
27748,1303.7584251830763
31012,1302.7377035961938
31780,1292.1397568540376
32932,1291.9203230263745
33700,1291.7551498869195
36388,1290.6564834857732
37348,1290.354769569166
39844,1289.961751745398
40228,1289.7924849278318
41764,1289.3662893648975
41956,1285.8495663432172
44452,1270.9988110604002
44836,1262.8761677655893
45412,1262.5929568714453
45796,1253.6077790242816
45988,1248.5451166513485
47524,1248.5451166513483
48100,1246.7104149405143
49060,1245.120175773709
53668,1244.9355478628056
53860,1242.5187453082203
54820,1242.515887374848
55588,1241.913491390144
55972,1235.0650634028416
56548,1234.407906733767
58084,1229.1637067612126
59812,1225.6970009073034
60196,1216.84653392257
62692,1183.1743569480436
63076,1157.6035023068875
63460,1145.2052463071748
63652,1142.8003469251219
63844,1140.6820158573305
64228,1139.7096090190005
64420,1133.2953927157228
64996,1131.094959815053
65380,1128.8204217013713
65764,1122.0780616952661
70564,1121.1337897852668
72676,1121.0264712883782
72868,1121.026471288378
82468,1112.5181157158727
83044,1110.7700516180773
83236,1103.8359222693623
83428,1091.023267041026
83812,1086.9782857287917
84004,1086.8947816415296
84388,1084.8947816415296
89380,1079.6314055897742
89572,1079.631405589774
89764,1078.90685203434
90340,1078.497587241291
91492,1077.9865533728619
92644,1077.9863199568156
93988,1077.287273572354
94180,1077.2680440615825
94564,1075.8384777158844
101092,1075.6274631417416
103012,1073.8364511440589
106468,1071.5448846100737
106852,1070.1359075737969
107428,1067.5056465823648
110692,1067.2850395364746
111076,1052.7166178710395
111268,1052.6305507523984
111460,1052.02556580455
111652,1042.5356863435045
112036,1039.8558293083813
112228,1038.7114495656908
112612,1035.9016629502487
112804,1035.8446091976998
112996,1034.6010998705028
113188,1026.817906513121
113572,1024.282512411546
113956,1023.4261335850725
114148,1022.0393819208373
114340,1021.3919048132491
115108,1021.308211812006
116260,1020.7204296397194
116644,1019.1084956960096
117604,1018.856559793805
118564,1018.0555454553491
119140,1017.4166785268394
119908,1017.3835887843813
120100,1017.3826156205489
121828,1017.1449837492366
122788,1017.1118940067786
123556,1016.7423639998358
126628,1016.3805192335172
128548,1014.3673738142783
129124,1012.7392266644116
129700,1012.7392266644115
135076,1012.3563007217326
136996,1010.9039999857647
137188,1010.9039999857646
145060,1010.8922256426878
145636,1010.8256289285864
172324,1010.2368401822441
174244,976.4213068033537
177316,970.7580578113807
249508,970.1029350509388
