Evaluations,BestCost
0,2677.133023513711
100,1231.0708499832592
296,1132.4809804255724
492,1072.6808284686977
688,1063.0426694753603
884,1040.9973309352515
1080,1032.3362289221932
1668,1027.1043323145605
2256,1026.1885809731734
7156,1019.1087074202742
7352,1018.0911989535068
121816,1016.7226772131992
122012,1014.7613727513726
122404,1014.524541266838
122992,1013.608789925451
143964,1013.1633543135306
144160,1012.9038963385256
144356,1011.8230137306302
144552,1010.352268979369
221188,1007.0967835899396
