Instance,BestCost,MeanCost,StdDevCost,MeanIterations,Satisfability
B-n31-k5,677.1555944548586,681.0484109347893,3.224782502385473,112228.0,30/30
B-n34-k5,790.0603505793069,792.3104691235806,4.500237088547374,10084.0,33/33
B-n35-k5,971.1785923870908,981.1029001901454,7.424592746514235,38077.6,34/34
B-n38-k6,808.7026097356143,826.1750180779857,13.321890583571909,36464.8,37/37
B-n39-k5,553.1564551229109,557.2522499021686,4.971338083244039,65188.0,38/38
B-n41-k6,844.6931672023675,904.6545285184608,36.6209719788306,158039.2,40/40
B-n43-k6,748.1126227363916,758.2832798089328,9.896278017906404,121098.4,42/42
B-n44-k7,929.3894919795048,963.999857484011,24.46337687247952,147364.0,43/43
B-n45-k5,763.200623563415,801.6382245690072,25.060818818291843,149798.4,44/44
B-n45-k6,717.9094085124392,744.53706040245,23.59351041862005,137341.6,44/44
B-n50-k7,745.170983365726,750.5763958050037,5.723253241533968,178160.8,49/49
B-n50-k8,1327.648980290783,1333.5416903462217,5.518037024033067,127818.4,49/49
B-n51-k7,1110.279692250968,1141.0775709822974,22.280496016524623,122864.8,50/50
B-n52-k7,754.1343315486831,757.8849034536015,2.552521420574143,155120.8,51/51
B-n56-k7,731.546293584546,746.1404490340267,9.37775305147557,152932.0,55/55
B-n57-k7,1143.3283981339478,1148.2838990172909,4.044784030841822,204887.2,56/56
B-n57-k9,1615.7446545319126,1672.229900615731,33.64827210410507,114724.0,56/56
B-n63-k10,1569.9964644950248,1605.1883054419363,21.32746221424773,115568.8,62/62
B-n64-k9,932.5774953415662,953.796156152882,19.11238325375477,146173.6,63/63
B-n66-k9,1351.4416037389562,1385.5112982648411,25.55764841415327,103165.6,65/65
B-n67-k10,1072.510338473573,1091.9935986310425,12.666674007646334,104509.6,66/66
B-n68-k9,1302.100396535822,1355.1365719595765,48.57758823893691,210916.0,67/67
B-n78-k10,1258.8873406588727,1312.9560168802332,46.54299399140001,166103.2,77/77
B-n56-k7,724.3823056279734,746.2829025943103,24.818891963973243,93162.8,55/55
B-n66-k9,1364.3105405765814,1390.365887570991,16.688587007572863,171719.2,65/65
B-n78-k10,1284.9344046337037,1352.1225283393765,45.356146869942364,190447.0,77/77
B-n56-k7,734.9150289934009,773.1150178645936,50.60823995710786,189417.0,55/55
B-n66-k9,1364.541233605804,1387.8635598921433,18.54444330108686,85748.0,65/65
B-n78-k10,1291.898319840204,1339.9399516581768,42.8081321182686,115353.4,77/77
B-n31-k5,676.0884122584414,684.0248301678951,5.070094859122831,103316.4,30/30
B-n34-k5,790.0603505793069,792.7865719983878,2.8878724334704566,66367.0,33/33
B-n35-k5,965.1926944429622,976.8815781994626,14.031882319385684,53216.0,34/34
B-n38-k6,816.8051426620484,822.3676748262596,3.183283156220144,14491.0,37/37
B-n39-k5,553.1564551229108,573.6905095954615,22.883789522020415,109474.4,38/38
B-n41-k6,858.6293049902043,890.2574488322167,30.331347098072843,147111.4,40/40
B-n43-k6,746.9838389561539,756.3343069799922,7.870435984283248,110369.6,42/42
B-n44-k7,936.1763740747035,965.6009051167415,40.11953808667283,179080.6,43/43
B-n45-k5,768.7344789415547,805.9528833363995,59.615333379290234,174102.8,44/44
B-n45-k6,728.7432616329011,753.8375313004165,19.15454052307101,222017.2,44/44
B-n50-k7,745.170983365726,751.1013339740583,5.391401633898239,197158.4,49/49
B-n50-k8,1326.370335198891,1333.3620547373257,5.682224007762427,110226.6,49/49
B-n51-k7,1077.2696308276102,1147.1962446851417,39.618655248712585,134026.0,50/50
B-n52-k7,756.7487719517967,760.0083189147884,2.8436854314996456,73560.8,51/51
B-n56-k7,721.7517843048266,735.2540063537982,11.975946713492224,156321.0,55/55
B-n57-k7,1148.9938399726423,1263.1840134987829,142.66509475605056,95848.0,56/56
B-n57-k9,1625.7554439967867,1673.9538882953252,30.614606297243753,199248.4,56/56
B-n63-k10,1580.0614859184616,1599.4670588172014,20.471649128223792,209500.0,62/62
B-n64-k9,941.0534939802214,1025.7802883405097,61.20565305983036,171564.8,63/63
B-n66-k9,1343.5650176596455,1385.6946429805944,44.084968104825776,158791.2,65/65
B-n67-k10,1110.5290330259118,1127.3236657664381,22.133853225225035,98008.0,66/66
B-n68-k9,1316.972162221959,1333.1630885026564,15.791346458547789,114780.0,67/67
B-n78-k10,1263.5432517790473,1337.654504543374,55.778373183647396,104338.6,77/77
B-n31-k5,676.0884122584414,684.6772486399854,7.277023159259408,149829.4,30/30
B-n34-k5,790.0603505793069,793.6477827946885,5.110484232154071,65093.4,33/33
B-n35-k5,956.29409898826,988.2956193205607,19.386311071108103,100883.2,34/34
B-n38-k6,819.7618557419855,825.670047709273,5.769332551731491,34225.0,37/37
B-n39-k5,553.1564551229108,559.9187617270125,14.111325595656684,143673.6,38/38
B-n41-k6,911.105071390567,930.7135118219519,15.3988820398341,154950.4,40/40
B-n43-k6,747.5706787134661,761.1268036979383,10.687399128867815,102647.2,42/42
B-n44-k7,935.8200651986785,955.0668224861816,24.327873857329678,101430.8,43/43
B-n45-k5,790.3526284964574,816.9025413479143,42.55225089693486,160447.6,44/44
B-n45-k6,726.5266050198179,761.0026113728898,37.17034552698628,177334.8,44/44
B-n50-k7,744.3390151495397,750.2955187752302,5.411841737512952,161368.8,49/49
B-n50-k8,1324.028928013399,1342.545339369151,13.012545000086051,97172.2,49/49
B-n51-k7,1149.2576864822454,1185.9765418165236,35.228993829703754,31894.8,50/50
B-n52-k7,756.7487719517967,760.8411321746905,4.294517338200541,40515.2,51/51
B-n56-k7,721.9222685531862,727.6680990865235,3.613190485532512,60145.6,55/55
B-n57-k7,1143.9458329341337,1163.2466310448012,23.480317689761883,57912.4,56/56
B-n57-k9,1616.7733512313644,1659.0375202150906,26.36369041302098,34512.4,56/56
B-n63-k10,1569.7706517796828,1620.6200901752868,52.1323580474817,155140.0,62/62
B-n64-k9,966.8974339767433,1021.9087162663964,48.49879087885057,149458.8,63/63
B-n66-k9,1367.8114303733862,1399.6749820504515,24.05212085540687,91848.4,65/65
