Evaluations,BestCost
100,2367.8324083462844
292,2308.1772975556455
484,2270.399711901898
676,2215.6362276515883
868,2160.9438518862967
1060,2118.9286437897654
1252,2047.5631532355865
1444,2020.6494433774096
1636,1980.048189418234
1828,1955.4179182428015
2020,1909.4097901172515
2212,1896.3115772258213
2404,1833.644936032371
2596,1815.8643623032524
2788,1772.7531867807872
2980,1750.0195194353344
3172,1714.3555873759672
3364,1702.8525168429908
3556,1690.7380350181513
3748,1677.7206004383115
3940,1650.4209133308304
4132,1637.161057827473
4324,1636.6167782059042
4516,1631.0233365774338
4708,1618.2338680398384
4900,1613.849396167927
5092,1596.4343352088104
5668,1587.8281162254161
5860,1577.3760931632564
6052,1556.0428332473355
6628,1554.1071688379354
6820,1545.4007953205735
7204,1529.5836863694426
7396,1524.0164762785657
7588,1521.3015623692656
7780,1517.4799034707567
7972,1514.7649895614566
8164,1507.9593838492358
8356,1502.7459149552196
8548,1492.1721738534359
8740,1482.0840420481363
8932,1468.9795240537924
9124,1458.816034125253
9316,1443.873437383246
9508,1440.504899343786
9892,1440.4308571988888
10084,1437.6392465714441
10468,1434.9068486560582
11044,1429.0617690037839
11236,1428.1340231728568
11428,1392.5249848937478
11620,1371.561943169948
11812,1371.125363197494
12004,1369.5541713106422
12388,1366.0360729721633
12580,1361.1129960866376
12964,1360.6764161141832
13540,1344.2043251881644
13732,1342.5350725110534
13924,1319.863467969603
14308,1315.679372489168
14692,1314.4806767640516
14884,1303.7573339831122
15460,1302.3095225283057
16228,1301.578006969164
16996,1301.2653831752086
17380,1297.8309634501202
18916,1293.3432284825897
19300,1292.191969657851
20260,1291.4274493244345
21028,1288.5513127973895
21220,1284.500911512109
22372,1279.5879534887633
23140,1278.8412568450412
25252,1277.093122974792
25636,1273.9652409692062
25828,1269.0732470113958
26404,1267.1124515811898
26980,1261.3768319110582
27172,1258.4394519189302
27364,1257.8413153172683
27748,1257.7371720548786
27940,1254.0110327838347
28516,1253.9473627557322
28708,1240.933977277084
28900,1239.7746674410832
29476,1237.9107034801525
29860,1232.059330904155
30052,1223.7335883620467
30436,1212.5441810811649
30820,1210.7091699782618
31396,1210.5108804220029
31972,1206.612670348967
32548,1205.5254783932141
33124,1203.3060630831599
33892,1203.1684650300601
34084,1201.8345531584473
35236,1198.8587358496231
36196,1197.9680079252566
37348,1191.1286421776563
38692,1189.4203654941414
40228,1188.948180098317
40420,1188.9481800983167
40804,1183.7954628440675
47332,1181.5385459053443
51364,1172.2403483060336
51748,1172.1248897034895
51940,1171.8407911567979
52708,1159.251369673931
53092,1156.4496523250855
53284,1150.6888415884598
53476,1149.6809106666865
53668,1147.7968522030749
53860,1147.4649502119378
54052,1145.0239237622459
54244,1136.8718002475666
54436,1136.8671876143035
55012,1132.8405105931167
55972,1131.7030622465663
57124,1130.5508006943974
65764,1128.6793191860945
72676,1128.0688420533043
91492,1127.9868686851553
93028,1127.986868685155
96484,1119.294992236259
107620,1119.0437890258672
118756,1118.4181708354258
119140,1118.4181708354254
120676,1117.7682991113506
128164,1115.2114096576765
140644,1115.2099575136408
146596,1112.6345120765197
148516,1108.2465907929384
150052,1107.6246352338692
161188,1107.1986871884967
167524,1098.1536498119194
167716,1095.8550992675853
168868,1095.322613471402
169828,1089.3460412596833
170596,1088.6031523549404
171172,1082.6153486898647
171556,1080.545549030578
173284,1077.073164369087
173668,1076.3354453451236
174436,1075.8029595489404
177124,1075.713615715741
180964,1075.5441484800613
181732,1072.779377313751
185380,1065.8717948726533
199396,1054.5982375640933
201124,1053.988422432015
201892,1031.7631213947448
208036,1025.4629781410035
211876,1019.0142706241892
212260,1018.1498914115956
220324,1017.9541588084448
221668,1017.3886541138114
223780,1016.9782349932443
224932,995.578660262876
225124,994.7877232966753
233956,993.5798372968106
234148,988.1089067614324
238372,985.7926432307743
238756,985.066915472042
243364,982.7045263449875
254500,982.5005749239648
255268,980.0186233402566
257764,978.1779033455451
258916,970.3486236715252
286564,969.0782014728674
344548,968.6750143208588
