Evaluations,BestCost
0,3696.646009213705
100,1526.009395343105
300,1475.0703544473047
500,1447.0578456994076
700,1432.792067791684
900,1419.684661250233
1100,1376.1163183351123
1300,1370.7685878824177
1500,1349.424156030151
1700,1338.6431393455152
1900,1333.382420300398
2100,1331.7044851896092
2300,1326.443766144492
2500,1320.3532800288083
2700,1310.7837255503882
2900,1302.879902915532
3100,1302.3127729645469
3300,1289.2053664230957
4100,1287.0099184104538
4300,1286.3485839455852
4500,1286.2464018755447
4700,1285.4598395797896
4900,1284.9342284825366
5500,1284.8320464124963
5900,1274.506814086643
8900,1274.5068140866429
9100,1270.573733752158
9500,1270.416577194137
9700,1267.5544076395329
10100,1262.293688594416
11900,1260.2643955763103
12300,1259.9374487303546
12500,1244.9558051350768
27700,1241.910788304608
28500,1241.1434910802827
32500,1239.7894372644837
41500,1239.7871528287778
42100,1234.534561573093
45700,1233.563328958846
54300,1231.246343151397
54700,1229.4528832528636
55100,1228.4249031130616
55500,1228.2693234437288
60700,1226.7786343013654
68300,1226.674433242129
68500,1222.4895200345368
68700,1222.0500664698602
