Evaluations,BestCost
100,1428.6726455980008
292,1362.924975813649
484,1276.675735430074
676,1243.9888464866847
868,1205.1525913665473
1060,1191.5277255344886
1252,1144.0461488509263
1444,1115.6469781130056
1636,1093.101697182532
1828,1079.3872311781577
2020,1069.90406915239
2212,1054.2910316589
2404,1033.349396591729
2596,1023.3253845475886
2788,1021.3881750836847
2980,1012.3755766708791
3172,1011.0419447945098
3364,1009.353569476277
3556,973.589617831854
3748,969.887919010539
3940,956.9647040853129
4132,946.910663167338
4324,945.5770312909688
4516,941.6273614612346
4708,929.9817985663378
5092,921.6720481455789
5284,914.1525073885141
5476,913.6284361924475
5668,895.8954275406093
5860,895.0966630902631
6052,893.1117956170874
6244,890.7335464967148
6628,881.6755367302628
7204,880.4985763925517
7396,878.8985522349133
7588,877.7215918972022
7780,870.4254729683053
7972,867.6311514748372
8164,865.9618987977262
8356,859.4369578191352
8740,859.436957819135
8932,858.5820319730728
9316,857.0444910636777
9508,852.8633403854408
10660,847.624895786103
11044,847.3934449338053
11236,842.154674839143
11428,832.154674839143
12388,822.1455928304366
12580,814.0861659270876
12772,807.9278504525086
13156,807.7526677883639
13348,807.2877705529231
13732,806.750772819151
14500,803.4626970113603
15460,803.1042309034657
15652,795.9258834686774
15844,793.3690523325914
16036,781.2746835003949
16228,779.8069153738503
16420,775.6647797501195
16612,775.2205870378513
19492,769.1234777018122
20452,769.0894201385776
23524,760.7260115501352
24868,756.6270498081092
26980,742.5659957952015
27172,742.3657740405934
27556,742.0077155448696
29476,734.7907273111314
33700,728.1898140965618
35620,727.5794275836519
36196,726.8494654196365
39076,725.6628924804404
43492,723.4705418373536
43684,718.9742458865616
50788,715.3987736999152
51172,714.1721096002933
312100,712.9939425777243
317284,708.9567603062466
