Evaluations,BestCost
0,2265.2671614836822
100,1106.253782861438
301,1054.3205141431586
502,1042.7480512844015
703,993.1378453249653
904,980.0250389447884
1105,963.3702606156914
1306,959.2214275248557
1507,957.0283277702899
1708,950.9662074977084
1909,941.6517321530694
2110,932.6260706839221
2311,923.4442329082424
2512,917.8098153376748
2713,916.3923496558596
2914,909.1889470953109
3115,902.8730802752509
3316,901.4556145934357
3718,899.5044088240645
6331,896.2394168757155
6532,889.5713845329308
6934,889.1485355995458
7135,887.1757443936638
15778,886.2018371745789
15979,884.1766875398389
23416,883.5857660673274
23617,878.3879023535957
24823,876.0794042989786
25225,868.8462334240497
25426,868.5974363197975
25828,865.8100252803163
26029,860.8891960701851
27235,860.2367202276866
27838,860.2367202276865
30049,858.2639290218045
162307,857.9779464683306
162508,853.9138503009885
162709,853.5656834471281
162910,852.9132076046296
163111,852.9132076046295
