Instance,BestCost,MeanCost,StdDevCost,MeanIterations,Satisfability
P-n101-k4,714.1480100205581,742.292680946287,20.763355724703956,176394.4,100/100
P-n16-k8,451.335080208618,451.335080208618,5.684341886080803e-14,92797.6,15/15
P-n19-k2,212.6569041858923,215.91177838015815,4.04028582261828,22717.6,18/18
P-n20-k2,217.41558334616656,218.1302317894568,0.3573242216451263,1290.4,19/19
P-n21-k2,212.71153970290385,212.71153970290385,0.0,1213.6,20/20
P-n22-k2,217.8521507402297,217.8521507402297,0.0,2557.6,21/21
P-n22-k8,588.7935242586069,608.9461129334925,28.780648307642466,34276.0,21/21
P-n23-k8,531.1738035458812,533.301311100782,1.063753777450393,28861.6,22/22
P-n40-k5,462.92610538419655,481.04238503636986,18.04019216914075,48676.0,39/39
P-n45-k5,512.7913045095214,533.7364926539307,13.325022565216678,90071.2,44/44
P-n50-k10,718.2779965508608,750.6672727909188,20.67602167598373,177047.2,49/49
P-n50-k7,563.9413207369349,574.9692392680272,10.78841423503462,132196.0,49/49
P-n50-k8,642.362236757,651.5884763645247,7.128818568932535,56010.4,49/49
P-n51-k10,777.5740238049267,811.1351332520351,27.36541794697965,78704.8,50/50
P-n55-k10,715.7977646039016,724.3404212123771,8.61746288201883,199088.8,54/54
P-n55-k15,965.9963374584852,971.952966996501,6.99164079018015,197284.0,54/54
P-n55-k7,586.265897459936,604.4112423380833,12.7897899512689,139607.2,54/54
P-n55-k8,601.658776268586,623.8060820324843,18.38330165187801,135690.4,54/54
P-n60-k10,773.1673254212334,802.5929740946747,20.77790466139345,119255.2,59/59
P-n60-k15,1002.5946188449524,1032.9693635292565,27.57458432986913,102128.8,59/59
P-n65-k10,806.4451756569722,836.4168420404918,21.702767791291592,131965.6,64/64
P-n70-k10,926.8485882934287,951.3966699778535,14.586411753367598,214832.8,69/69
P-n76-k4,666.075194673514,696.995948343477,30.43603708357868,99248.8,75/75
