Evaluations,BestCost
0,2223.2915096827037
100,1627.848933562685
292,1243.6874403195623
484,1097.286227839276
676,1037.8341870036193
868,1014.0812871751086
1060,978.2439806059585
1252,915.4669937289252
1444,883.633754571274
1636,878.9342822304845
1828,877.1170951112524
2020,875.7864049318067
2212,874.5748708925227
2404,872.3190180941273
2596,848.3577300230868
2788,845.3165500960665
3172,842.5640480818643
3364,840.6321102089041
3556,837.8966150749536
6820,836.5433868388798
7588,836.5433868388795
175396,833.240728659049
175588,833.0573545189802
175780,831.9391536503542
175972,831.8445117215985
176164,831.1704542230163
177892,831.1704542230161
