Evaluations,BestCost
0,2223.2915096827037
100,1627.848933562685
292,1258.6118380988114
484,1202.226033856134
676,1042.1905277584779
868,1012.2617357744616
1060,959.6110691615711
1252,906.5395356494582
1636,902.0064566269323
1828,892.1343261020919
2212,879.1141258990509
2404,871.7899571792826
2788,864.2155402665265
3364,863.5258853819373
4132,857.0686067150953
4516,850.9201928126292
4708,848.9414361613999
4900,843.9726322404067
5092,840.0656977403713
5476,840.0445140694128
5668,839.3207553239126
6628,838.1547433481976
7204,837.6328641935027
11812,837.5836827543857
12004,832.8181844162851
