Evaluations,BestCost
0,2613.1741403286583
100,2547.5972819496237
292,2441.6781940762926
484,2240.063615686454
676,2161.4487803254856
868,2081.876370260746
1060,1975.2706886530084
1252,1901.7000019801558
1444,1870.9385604512067
1636,1795.447626207607
1828,1754.6047694867705
2020,1707.5177112409417
2212,1695.7407548067877
2404,1658.336590308196
2596,1592.832223435627
2788,1561.2270605707465
3172,1518.268532367537
3364,1501.253561316584
3556,1483.3912035206822
3748,1466.7552842758323
4132,1454.6782979177674
4324,1451.025941122743
4900,1405.0110747118667
5284,1387.1509518394616
5476,1378.9546055594155
5668,1335.6893375130803
5860,1332.488276874211
6052,1326.6827064091515
6244,1313.1010285901207
6436,1308.81742501676
6628,1303.0118545517007
6820,1291.3256187171655
7012,1283.4967144818247
7204,1281.38918063565
7588,1268.405313173781
7780,1262.532270450743
7972,1257.4844024090494
8164,1257.2180229392707
8548,1252.0825551245175
8740,1251.0128256348528
9316,1225.2081614748545
9700,1225.2081614748543
10084,1183.8265723124834
10276,1168.8736377015457
10660,1164.0146290408475
11236,1158.1415863178095
11428,1151.3730648171259
12580,1146.7506788866274
12772,1137.7289556445776
13156,1125.1605967712546
13540,1118.891741002273
13732,1111.2887662692149
14116,1108.8425698264823
14500,1104.2201838959838
14692,1102.4498414879363
14884,1098.9658580972527
15268,1087.6139332264272
15460,1086.2555405772785
15652,1083.446708320941
16420,1082.4534425780014
16612,1081.4915871957685
16804,1080.162726848164
17380,1075.5419090904218
17572,1072.126854667572
17764,1069.7593615745338
18148,1069.3372502479397
18340,1041.740770608977
18724,1040.981029898296
19108,1029.1187135137554
19492,1025.3624511825994
20068,1023.8026346313725
21028,1013.1658205229683
21412,1013.1332233833837
21604,1013.1252746067971
21988,1012.1397287308089
22948,1011.9959982496705
24868,1008.4015462537809
25060,1008.059057940986
30820,1007.6146058695803
37348,1007.6146058695801
48100,1006.6806853774883
58852,993.6535977520402
59236,991.2861046590023
59812,991.0670479930635
208420,990.0956127506843
230116,987.4742538432954
231460,985.3150553334398
232228,984.3295094574514
236836,977.1590817028389
237604,967.6121210563283
