Evaluations,BestCost
0,3035.013354839005
100,1373.274122366809
292,1332.7194980368163
484,1316.171288824979
676,1291.9873531634848
1060,1288.93160656619
1252,1255.2871585786681
1444,1252.1374433574897
1636,1221.0759934718867
1828,1217.37129338049
2020,1214.2215781593118
2212,1212.0011008699923
2404,1207.662163959498
2788,1204.606417362203
2980,1200.1815619567355
3172,1197.1258153594406
3364,1187.6453588059715
3556,1184.5896122086765
3940,1175.5157141617365
4132,1161.112564934688
5092,1161.1125649346877
5284,1154.0154949433586
6052,1123.2763911296686
6244,1119.212139677413
6436,1105.099460331999
6820,1101.7425554656897
8164,1101.3396881263213
9892,1100.2678116406203
10660,1099.1128303161472
13924,1088.1915069196211
14692,1082.1603512052836
15460,1079.7928581122458
15652,1079.7928581122455
16036,1074.846875440141
21604,1071.5218696116415
22564,1058.87650040156
88804,1054.8489786795897
178276,1052.4728859605384
