Evaluations,BestCost
0,3035.013354839005
100,1373.274122366809
292,1346.891514946988
484,1327.7832191276025
676,1263.8146770963879
868,1252.306870317139
1060,1174.7095202295525
1252,1133.747084767404
1444,1098.832227188816
1636,1089.7185762988568
1828,1076.1896309860467
2020,1060.8920693479395
2212,1044.3185188524833
2404,1044.1556571889591
3172,1043.755958237878
3940,1040.7630151416226
4324,1040.3409038150282
13732,1030.6678653234865
14116,1024.365419755929
14308,1018.181509007781
14500,1016.7635785683487
14692,1015.655626238357
14884,1006.1086655918466
15460,1006.1086655918464
229924,967.6121210563283
