Evaluations,BestCost
0,3035.013354839005
100,1373.274122366809
292,1325.5766983650155
484,1304.5583154147332
676,1300.9927331111662
868,1280.5627412391323
1060,1280.0485593813019
1252,1261.778370119556
1636,1246.9256057462244
2020,1236.3540546085746
2212,1235.8488557804494
2404,1227.7577876042485
2596,1227.2525887761233
3748,1225.0546789428274
4132,1205.392358637218
4324,1187.8297490921589
5092,1186.5616412233733
5284,1181.1673619576898
5668,1178.3912595000556
5860,1173.019510070862
6820,1170.243407613228
7588,1170.1700498499445
7780,1154.14015779114
8932,1145.1529050994895
10084,1141.3803771799044
12196,1141.2939167221004
13156,1132.7853728089724
13540,1132.595015253226
13924,1131.9927114491481
20644,1122.9897892500605
21028,1116.3705594636758
21220,1102.7220165339484
22948,1101.763815788604
23332,1100.8224019605868
26788,1100.7048647993468
28132,1099.2110791468026
33124,1098.7037799072768
33700,1098.7037799072766
35236,1097.6284181202884
36772,1092.5625223130637
36964,1092.0009773343304
37156,1090.2254575289028
37348,1086.2832217621599
37924,1078.8880815304344
38116,1078.533374583851
38308,1062.7475735539533
38500,1061.615712038918
39460,1060.545982549253
40612,1060.323206977786
41188,1058.7704627438256
45796,1058.7704627438254
68068,1046.4315286018145
68452,1043.7985277890104
69220,1029.8930810605866
88996,1019.0172817030973
