Evaluations,BestCost
0,2613.1741403286583
100,2547.5972819496237
292,2404.0891873422365
484,2237.961939210415
676,2144.054761821749
868,2099.0861711679413
1060,2053.633102714489
1252,2019.6082305842099
1444,1987.5701016929145
1636,1956.4567222038856
1828,1935.9525069190702
2020,1874.0177274347843
2212,1867.331162260325
2404,1825.910986696705
2596,1785.781478885412
2788,1749.0443299134495
2980,1740.6438945156378
3172,1728.987677164663
3364,1686.7761621321924
3556,1679.592341403076
3748,1668.2551151115522
3940,1643.27171364845
4132,1637.5364310363955
4324,1633.1288985867025
4516,1629.4511614931466
4708,1622.0673855425089
4900,1615.6858226026545
5092,1613.3680674110649
5284,1597.6151502834462
5476,1596.7806007200859
5668,1584.7410651081639
5860,1580.6958917791692
6052,1571.9415359530544
6244,1561.8299349589174
6436,1555.0823642310065
6628,1538.6077700630503
6820,1528.149994727316
7012,1526.9931273539398
7204,1512.8363530308081
7588,1502.6057158987724
7780,1492.4712470874854
7972,1489.1827514287734
8164,1478.72787586531
8356,1478.1913143937982
8548,1475.5508277379072
8740,1471.5507644031022
8932,1465.7468859221772
9316,1465.356570822368
9508,1448.0891711064921
9700,1445.1417658737678
9892,1443.221115474897
10084,1436.396853505801
11620,1432.7554690860386
12196,1431.2730837129027
12580,1422.488402052241
12772,1413.8755240663256
13348,1412.6938020254806
13540,1411.4929589545848
13732,1410.1801379541882
14116,1405.607617468108
14308,1405.5119064533187
14500,1394.0306740616072
14884,1386.8426622696443
15268,1384.086387295087
16228,1383.4653820816568
16612,1381.5039264578497
16996,1378.9988910260727
17188,1372.59397860873
17572,1372.2459279294771
17764,1364.119869792753
18148,1352.6494288821327
18532,1350.901775986667
18916,1350.5254924629903
19876,1348.221285325454
20644,1339.9103715165031
20836,1337.594186524255
23716,1337.434068173615
24676,1335.9529362035692
26212,1333.4270534341451
26404,1324.7864878342798
26980,1314.8793955866547
29476,1313.6035579715985
31588,1312.5597810558986
33316,1303.2172534493739
34084,1302.6757959318643
35812,1290.2200310954931
36004,1289.6830125887504
36196,1289.3177699046646
36388,1281.711785713845
36964,1275.192370580876
37156,1274.2528307382313
37540,1270.6219100483427
38116,1267.2697504616276
39460,1264.4171849355866
39844,1253.272521790722
40036,1242.3706063597526
40420,1239.729653674963
40612,1235.4395580208115
41188,1221.6339267430053
41572,1210.4191670565647
41764,1205.5601583958664
41956,1199.9074057124851
42724,1185.0407442919934
42916,1172.1188493853726
43108,1171.623092877324
43300,1170.04041860818
44068,1152.9994499550853
44452,1149.927255428824
44644,1125.5165040641973
45220,1125.0207475561485
45796,1121.2240391363202
47524,1115.8527582324002
50788,1112.7614576404724
51172,1104.984436325059
51364,1098.2461386326015
51748,1097.8049586337181
51940,1097.804958633718
52132,1097.3092021256693
52516,1092.7867920784313
52900,1089.2452844053742
53284,1075.84056040453
54436,1074.976498291094
54820,1074.0299316152411
55012,1072.0559286347964
55780,1068.6390900272631
56164,1058.3410498274516
56356,1050.42168017384
56932,1048.9505208285545
57316,1046.187427684679
57892,1039.0350294788598
61924,1038.4023646182984
65572,1037.6413846585806
71716,1030.2299992192993
72292,1028.820445024929
80740,1018.4897578054611
81124,1016.7558003109758
163492,1011.9242613953246
339940,1011.3290555704423
