Evaluations,BestCost
0,3129.5316618863776
100,1074.9462192154813
292,1025.1543102853952
484,991.9075464671564
676,954.9793903012257
868,876.7059524523759
1060,862.8017066118375
1252,851.7139240594324
1444,841.8062050261937
1636,831.6170521110457
1828,816.7936423277038
2020,813.7612865941433
2212,800.3016579636301
2596,798.539681511412
2788,793.7664985283541
2980,791.6990495442537
3172,784.1697176670204
3364,782.8658051864029
3940,780.9451162345629
4132,779.8008357992696
4324,778.6842246886254
5860,778.558079168203
6244,776.3813879546583
9700,774.3266845124932
20452,771.5401637691654
21028,768.874383892054
44260,764.3089557604727
44452,763.1373828852189
44836,763.014387108373
45412,762.8166598860859
68644,762.0947501353238
