Evaluations,BestCost
0,2858.775069124212
100,2514.5958378609553
292,2373.89045206642
484,2210.1104198937323
676,2119.0931850825145
868,2030.732598328916
1060,1939.2711285353244
1252,1813.3754993846258
1444,1783.6399469699973
1636,1736.921762654102
1828,1667.8225341837176
2020,1655.6252770810836
2212,1593.3193142285538
2404,1564.3725922673161
2596,1537.568992912351
2788,1536.9159050580515
2980,1505.8022808394353
3172,1481.9254655932332
3364,1451.015407691375
3556,1448.0923133084189
3748,1443.6201773534192
3940,1418.0703196221862
4132,1406.2017660356091
4324,1377.4731653337697
4516,1373.0010293787702
4708,1355.741027069943
4900,1352.2656939631236
5092,1344.5165058106527
5284,1336.0413530045255
5476,1323.5429740457455
5668,1310.453836535552
5860,1305.9817005805526
6052,1304.5415783570038
6244,1303.5801825843962
6436,1302.020674903074
6628,1300.4594594135078
6820,1296.9279891781307
7012,1291.5737769704572
7396,1261.5915500370143
7588,1249.414112961184
7780,1231.3770460390554
7972,1223.9579998116105
8164,1207.2389006207113
8356,1207.2274113314938
8932,1201.5757067387976
9124,1201.022330011285
9316,1192.9480160570517
9700,1191.8113177507646
10084,1185.8562924373707
10468,1180.9930608315642
10660,1175.5060616764063
10852,1173.0934128834917
11044,1171.3901618800828
11236,1169.9697573840044
11428,1166.0273369958318
11620,1161.9807335206172
11812,1161.51665217081
12004,1160.8758061175952
12196,1156.5168687581122
12388,1149.184503803808
12580,1144.4990634132464
12772,1142.842209163754
12964,1122.8060445742146
13156,1120.8124735306924
13348,1114.002636836117
13540,1103.1769637395648
13732,1075.4120476115077
13924,1074.4807596018768
14308,1065.9534238578217
14500,1063.7367944004652
14692,1060.484692068016
14884,1056.3185700913325
15076,1056.139336180887
15652,1053.5501276579832
16036,1051.2877338001242
16228,1049.8835472969372
16420,1046.1262004108698
16804,1045.4360147636894
17380,1045.3826811758045
18532,1044.8562967778664
18724,1039.3408920442478
18916,1037.0946807930125
20260,1036.9471001583497
21988,1036.8354267302675
22564,1036.8336023365173
22756,1036.7862083923294
23332,1019.2120924176751
23524,1014.997114072659
25060,1014.5886360156136
25636,1010.8651567756351
26788,1010.5672536461216
27172,1005.337227765335
27556,1004.1748143009218
27748,1002.6078660858175
28324,1002.42118450823
30436,1000.974684884513
31012,994.2883565438098
31396,994.0112987136093
31972,992.06594597877
32356,990.805434057052
32548,987.5565426945607
33124,987.4080729183962
33508,985.317959754191
33700,983.0787759329353
33892,980.9886627687301
34276,980.2114520389077
34468,949.8068188611614
34660,945.7362651933643
34852,910.3897334940561
35236,909.9584111878935
35428,900.6248541513517
35620,900.2757640523312
35812,895.5715066930854
36004,892.9086519683443
36772,892.7259750320285
37732,892.0955699650716
38692,890.7631276268805
38884,889.1219040040613
39268,888.454202933217
40036,888.400869345332
44260,886.496508105258
45220,885.3108602858437
46372,872.0095131615569
46756,864.8298177595924
46948,864.5557087178548
47140,864.5557087178547
47332,864.3524165772368
47716,864.0508475496201
48100,860.0508475496201
48484,859.7871436517091
48868,857.183422277111
49060,854.5891230123664
49636,852.5146887604969
49828,852.0351745706912
50212,845.6470029596999
50980,845.5258720957247
51364,844.1840635963845
52324,844.1781192478718
53092,842.4840142181524
55780,840.0154516966998
67492,838.107588697053
68644,837.6604565511129
70564,835.1544369961782
71332,835.0575355627515
73252,832.5506528349206
73828,832.5506528349205
74212,830.4486301132607
74788,828.940131342389
75556,828.602717176689
75748,827.8023838343056
76516,826.4596269494959
78820,824.1140072876475
80932,814.8679209201748
81316,813.3501312194684
81892,813.2689075094663
82084,803.0526696131566
86116,802.9449532455541
86692,800.7299353623921
91492,800.4174947189401
