Evaluations,BestCost
0,3129.5316618863776
100,1074.9462192154813
292,1074.0375179145349
484,1052.7562174970305
676,984.2978832479873
868,977.747143607776
1060,962.0780195370719
1444,961.0148099657075
1636,954.2772894800819
1828,953.2680365896069
2020,948.9434812692703
2212,947.6221408244255
2404,944.5600875965398
2788,942.9188639737206
2980,941.4754546022616
3172,941.3191248319927
3364,939.8342309794423
3556,937.388921349765
3748,935.6491157206541
3940,934.7177107518987
4708,919.6017622841509
4900,917.4589371118725
5092,912.163658417018
5284,908.2840986501325
5476,885.5603842998194
5668,879.8353997773083
6052,879.6398553589779
6244,877.216327450778
6628,876.9535258142263
6820,874.1707352648964
7012,872.2423392238309
7396,865.0817677226645
7780,860.0744345246541
7972,858.887737466333
8932,857.3097425229337
9508,856.5634243921916
9700,850.9506863343679
10468,834.9842675300638
10660,834.8577512369126
10852,829.4160757764016
11044,828.2445029011478
11236,822.0983530941079
11428,821.3043080085081
11620,819.0580967572727
11812,814.6304402849589
12196,812.6021898850906
15460,811.882766399797
16804,809.6745196390672
17188,802.9355530431387
17572,801.405042808402
18724,799.6558236310575
19108,799.4267827641795
20068,797.7699285146873
21988,795.6559249196135
22372,795.457713422477
22756,795.0549811832133
22948,793.7995359036861
23140,792.1426816541938
25252,792.1426816541937
25444,788.817746385412
25636,787.3055170088037
26212,768.4249039909826
26980,760.6085410372823
28324,759.5867330996482
28708,758.2542907614572
29092,754.9293554926753
29668,753.401491447675
30436,751.8261629901733
31588,749.9513003887082
32356,748.6321468787917
32740,747.8112165400098
33124,745.9719425939118
33316,744.8189601488289
33508,744.3733495015961
34468,742.8712757520111
35812,741.2144215025187
37156,740.6793469959632
40804,739.1123987808588
47332,737.7585019536237
49252,736.089170428097
55012,735.2499249502948
58852,734.3302879772458
78244,733.6829767351906
93796,732.502801566724
99940,731.5252532178497
