Evaluations,BestCost
0,2858.775069124212
100,2514.5958378609553
292,2161.529442912149
484,1919.8319427331085
676,1554.160160506728
868,1362.1325003685486
1060,1185.1488350202699
1252,1141.026437355133
1444,1118.5296243172854
1636,1070.4321791228826
1828,965.0313317014272
2020,928.7467381699335
2212,917.8193829677865
2404,886.0903954671742
2596,861.4386692962104
2788,851.1762098825669
2980,831.8760959825662
3172,824.0406092629347
3364,816.8830500200148
3556,809.0475633003833
3748,803.8728436122975
3940,801.204508018524
4132,797.3075245227369
4324,786.9323230670097
4516,786.0186304424734
4708,785.1622516159999
4900,781.961480731468
5092,779.6730116258127
5284,774.5779077421549
5476,772.3147275741924
5668,771.2656797265691
5860,756.323751391226
6052,750.5031023345542
6244,748.1785470142175
6436,747.6504569522397
6628,746.829845780895
7588,745.3534227210685
14500,744.6593469862758
14692,741.0588635231433
14884,741.0528410448333
15268,739.7041398115107
15652,739.6503697618926
54052,737.0376670480097
