Evaluations,BestCost
0,3613.5899239823
100,3371.0036605471555
292,2858.3246979693777
484,2411.818314848631
676,2154.1903509652416
868,1946.2112786271164
1060,1840.4140002087574
1252,1792.0493267195125
1444,1755.8105525396136
1636,1603.4112023957136
1828,1575.196802803136
2020,1552.803372250392
2212,1504.0249231199457
2404,1432.5737998327484
2596,1425.9271172537217
2788,1384.07693978044
2980,1328.714459936012
3172,1328.6553020214385
3556,1320.5356213085581
3748,1320.324118569848
3940,1310.4316316850184
4132,1307.9148780927474
4324,1307.703375354037
4516,1305.6960326164246
4708,1301.2238966614252
4900,1300.453807142231
5092,1297.9850645974082
5284,1295.0007463594534
5476,1232.829790045797
5860,1232.2802607934077
6052,1229.955705473071
6244,1229.0997496382613
6436,1228.8552622531918
6628,1223.5323132171145
6820,1222.9055737425954
7012,1218.5492825728488
7396,1204.5072605600185
7588,1193.225019444894
7780,1191.23647281901
7972,1189.34555930171
8164,1183.430214806676
8548,1183.0113885004607
8740,1182.2772323615932
9124,1181.8584060553778
9316,1181.6469033166677
10468,1181.6469033166675
139684,1180.1795467515517
139876,1177.3511196268055
299236,1176.9902651889045
