Evaluations,BestCost
0,3425.6345956758882
100,1743.2795571642018
292,1688.9097010886878
484,1664.6763849401725
868,1660.7555858128721
1060,1650.90756770315
1252,1638.2720364837066
1444,1574.216703581693
1636,1568.3341670040634
1828,1556.019268970283
2020,1544.2054862530924
2212,1542.8184200378082
2404,1526.8591217995122
2788,1520.3525180225324
3172,1515.1996319153536
3364,1505.317095337724
3748,1497.4118871774192
4132,1495.5291082241627
4516,1495.1541308267495
4900,1494.013823176464
5668,1478.081958150173
5860,1477.3557523596905
6052,1442.7997999299564
6244,1442.0735941394742
6436,1434.6887994504502
6628,1433.3527822344288
6820,1431.313417975557
7012,1430.71618993224
7204,1427.7824052042638
7396,1425.0858648494068
7588,1401.8999573463682
7780,1384.6482914853516
7972,1383.8497346374127
8164,1379.2285300031538
8356,1378.5882508597545
8548,1376.7989939615693
8932,1376.15871481817
9508,1371.2002001804592
9892,1367.7490663551582
10276,1366.6560435401013
10468,1366.3658908845216
10852,1364.6178267867265
11236,1363.3548007580232
12388,1360.5320884344894
12772,1348.2319112093899
13156,1346.465254342351
13348,1344.3690183832555
15844,1342.8425305997455
16228,1339.279259879883
18148,1339.0001611627167
26212,1338.678452809344
27364,1338.607258878438
28516,1337.9942556235721
28708,1337.2562956212764
29092,1336.7067663688872
33124,1335.38391083444
34084,1335.1617369057503
36196,1330.8231605219305
36388,1326.4270626224786
36772,1323.6500476288631
36964,1321.7814180346336
37540,1321.256155054229
37732,1320.3562280470828
38884,1318.997409206683
39268,1317.3852226735953
90724,1308.4515176988687
91108,1307.8311758749858
91300,1304.5473934961701
91684,1297.2618585810924
91876,1283.450789517935
92260,1277.8851451167454
92644,1277.56315611466
92836,1276.7581952973603
93028,1255.3657937414673
93988,1252.2706075699705
94564,1250.614256394591
95524,1248.7749824484927
95716,1248.7455111499216
97252,1247.13526128588
97444,1243.7067312446081
97828,1239.8665467660758
98596,1239.83448734736
99940,1225.3680299007497
100324,1224.3303449443422
101092,1223.1587720690884
113764,1223.0064206441111
114148,1222.0057896240055
117988,1220.0969227701437
122404,1214.6600401108642
123172,1214.3990020881695
