Evaluations,BestCost
0,3425.6345956758882
100,1743.2795571642018
292,1713.2572859025474
484,1563.9356125983436
676,1469.0259214065813
868,1384.9607712810762
1060,1369.9116928515646
1252,1337.138262866747
1444,1326.6284804225777
1636,1314.7632952247482
1828,1300.0153184509418
2020,1287.7155142144552
2404,1272.8006742166428
2596,1271.8038805145648
2788,1270.3915792146347
2980,1269.3947855125566
3172,1209.8309813843766
3364,1208.6309894244903
3556,1207.670255330475
3748,1207.4906817742049
4132,1206.5299476801897
4708,1206.3708342765249
4900,1206.3373069462493
5092,1205.8027731134364
5476,1205.6315412344702
6052,1190.596802224131
6244,1179.8926955512966
6436,1172.3404935739654
6628,1167.2931772508298
6820,1166.1528696005444
7012,1163.7126194771615
7396,1162.572311826876
7588,1159.7111156357064
7780,1157.2649908791473
8164,1155.7557172643178
8548,1155.010050477908
8740,1154.0493163838926
8932,1153.8378136451822
9124,1153.3113563815969
9316,1153.0998536428867
17956,1151.7526567093932
19108,1151.44063686514
19300,1150.9423334573025
19492,1150.4409587116327
19876,1148.3023067272597
311524,1147.6848719270738
