Evaluations,BestCost
0,3613.5899239823
100,3371.0036605471555
292,3104.249284737035
484,2949.852445253489
676,2862.430657675746
868,2760.625091336019
1060,2662.9192457500726
1252,2585.7299824321713
1444,2500.8529184263625
1636,2492.959774828741
1828,2396.797417632687
2020,2387.035351955906
2212,2372.261376423934
2404,2356.087446993339
2596,2319.050546880482
2788,2282.853544863361
2980,2222.6673264698934
3172,2169.727235549764
3364,2147.092381414563
3556,2087.7632692981438
3748,2085.1617968189375
3940,2073.0772751698537
4132,2052.2840221077854
4324,2046.139492088824
4516,1986.4510762029838
4708,1967.4664302934063
4900,1958.8437621590563
5092,1911.7908377036547
5284,1903.1681695693046
5476,1891.2364352916552
5668,1884.2790179624171
5860,1882.5985791338467
6052,1880.5947322345974
6244,1854.2585697164495
6436,1849.9028918239305
6628,1848.9182192911785
6820,1842.0560510567552
7012,1839.5447977315168
7204,1838.8758489893385
7396,1835.4993302847759
7588,1832.359493258932
7780,1823.2395175361146
7972,1822.3274868581184
8164,1814.3085620574711
8548,1813.538279627746
8740,1760.6683626222068
8932,1757.3018209877873
9124,1755.385424541037
9316,1752.107207597375
9508,1726.937374643496
9700,1726.1089475187498
9892,1725.88677359006
10276,1724.374933568182
10468,1681.9287511028365
10852,1681.6014448864003
11044,1677.7178498789212
11428,1672.9261880395816
11620,1671.2141892354323
12004,1670.8412609261493
12580,1670.7665423822616
13156,1669.1674223932719
13348,1658.3872103808249
13732,1657.3501047673667
14116,1650.4309002586087
14308,1645.3954518735486
14500,1642.4982692376186
14692,1639.9479784213604
14884,1636.986568867124
15076,1635.3265967549976
15268,1629.4664321797015
15460,1628.5414882490252
15652,1627.713061124279
15844,1615.0001164262558
16228,1609.9845041156977
16420,1609.1560769909515
16612,1606.1597815029504
16804,1605.7508417676504
16996,1604.7252264320086
17188,1603.0217205485546
17380,1599.9746653623656
17572,1599.569318196
17764,1597.865812312546
18148,1594.1774858450212
18532,1585.9176894187685
18916,1585.5523442313213
19300,1584.8520705210308
19492,1583.2417702088683
19684,1581.9447810007118
20452,1580.5168366651737
20644,1579.8294177197454
21988,1579.433833503062
22180,1575.8313613617306
22564,1568.9986329041049
22948,1564.3825430929055
23908,1545.0716543736116
24100,1544.141320547868
24484,1543.0143761572504
24676,1506.472691985066
24868,1506.395451105916
25444,1503.0634602842483
25636,1497.778520096177
25828,1494.6814689465082
26788,1492.3569136261717
27556,1491.229969235554
27748,1491.0361884243212
30628,1488.6175046945395
31012,1487.7145558442085
31396,1486.5876114535909
32740,1485.86327555574
33508,1485.848210785085
35236,1470.3937109734138
35620,1468.6770061754055
36196,1467.2221369387194
37156,1465.302077627503
39076,1463.7648746699333
44068,1463.762371813717
49636,1463.5508690750069
94180,1463.2436555422555
94756,1462.765296090061
113956,1462.6044545208892
119140,1462.0446963742688
