Evaluations,BestCost
0,3383.638810449931
100,1604.0701565898298
292,1565.9894137994136
484,1532.5552384139294
676,1492.0124272719615
868,1477.5018406635543
1060,1449.9183366731952
1252,1438.1615038133664
1444,1429.288513387427
1636,1399.2467550475712
1828,1391.7119594623923
2020,1353.1414858347314
2212,1338.1746194548748
2404,1325.969677604724
2596,1319.3758081282658
2788,1301.319188391163
2980,1292.5168220513096
3172,1286.6439855026244
3364,1277.9387685222969
3556,1271.6495639964303
3748,1251.71362694652
3940,1251.6859069777395
4132,1243.1563197570822
4324,1239.8293868811325
4516,1236.893508347069
4708,1235.7123163367098
4900,1233.1931199443734
5092,1231.3653686723471
5284,1230.421138908044
5668,1230.361422427711
6052,1229.2458994040367
233956,1228.881683693381
234148,1228.617130167533
234340,1228.2423438428525
234532,1228.05653907777
235108,1227.8648242317613
235684,1227.4718858197114
265252,1223.0849114108744
266404,1222.3981138022143
266596,1216.04429897888
318628,1214.8962608341787
319012,1208.097144929869
336484,1207.5127168875892
