Evaluations,BestCost
0,3439.169939204699
100,3248.5119980934246
292,3056.0857918629367
484,2685.781494925251
676,2581.893447259905
868,2459.0397495645934
1060,2174.5999327811196
1252,2056.6275436968185
1444,2002.9391380757477
1636,1947.8182636591443
1828,1852.6328792989784
2020,1811.181615886589
2212,1763.938106456436
2404,1733.1891196472277
2596,1706.6218121263053
2788,1677.4021844890763
2980,1652.0628819487779
3172,1601.6613332057652
3364,1561.4280682435212
3556,1542.7569911749397
3748,1485.938124975374
3940,1454.619364912206
4132,1432.0305883048536
4324,1416.8880663339971
4516,1405.187559546528
4708,1378.2517094450352
4900,1367.5991898861555
5092,1350.7795985135356
5476,1324.3965227762585
5668,1318.870513665063
5860,1309.7922169001286
6052,1307.360834945347
6244,1293.162410760666
6436,1286.3946997037815
6628,1274.556515078822
6820,1271.1333846314499
7012,1256.492657134268
7204,1255.644027568639
7396,1249.1266111852174
7588,1248.3277259828303
7780,1245.2009957460202
7972,1244.4631558181645
8356,1242.030794302898
8932,1241.0203444432611
9316,1240.1537941318063
9508,1238.1941372271256
9892,1237.7303106199142
10084,1236.8823288987192
12772,1236.8139515379007
13924,1234.3372805567344
14500,1232.791886854505
14884,1227.3204454218512
15268,1225.7851672065624
15844,1224.7128736949019
16612,1223.8740186530779
64996,1223.7562753846494
65188,1222.643911761373
65380,1219.8126934807212
65572,1204.5334975950839
65764,1202.581934956994
65956,1202.0995169560995
66340,1201.8324976329538
66532,1198.4325365000475
67108,1196.0461324847904
67300,1191.8624581274287
67684,1191.2234465671515
103204,1190.6214484354346
103780,1190.0581026321322
103972,1189.5711182121768
104164,1186.7328950213932
265828,1186.6200431420993
