Evaluations,BestCost
0,3383.638810449931
100,1604.0701565898298
292,1592.3507887527855
484,1591.5728624571395
676,1588.23043684201
868,1581.5778640884052
1252,1562.9859968738938
1444,1556.7238874013926
1636,1555.5942287321238
2020,1549.6443957218569
2404,1540.8490981864495
2596,1539.423983852578
2788,1534.6335874809638
2980,1533.4686919979113
3364,1531.103666186035
3556,1527.469837095743
3748,1527.2825088705986
3940,1515.4190206169874
4324,1512.5230500244836
4516,1512.5230500244834
4708,1512.2673828727015
5092,1503.6204743211601
5284,1497.9300066097337
5476,1494.0244053467272
5860,1493.1798788898977
6244,1492.464636380715
6436,1485.5280168664972
6628,1484.8917072997297
6820,1484.869570435478
7012,1479.578048223201
7396,1478.8628057140184
7780,1478.7324838724574
7972,1476.4257766687172
8164,1471.3896471280962
8356,1463.7719974483978
8548,1449.3494880355056
8932,1440.605864213543
9316,1440.2799244391695
9700,1437.7789352735872
9892,1437.7706042978675
10084,1437.7154493082476
10468,1436.6571644351748
10852,1435.0720596680458
11236,1429.6320120611717
12196,1429.15559679002
12388,1429.0549606047016
15652,1428.8996333362315
15844,1411.6327577282586
16228,1409.326050524519
16804,1402.7066687850677
16996,1402.582943550846
17188,1402.5240401517965
17380,1390.9767051992453
17572,1389.444661538478
18148,1388.968057197272
18532,1388.7516060436171
19876,1385.6198926117083
20452,1381.7824107801644
20644,1381.341653324459
21028,1376.5204692154136
22180,1373.4140177593385
22372,1371.637688364515
23332,1369.5182080634418
24292,1368.8207557526996
25060,1367.8495231384522
25444,1363.404316011142
27364,1354.5980451954922
27940,1344.5141810181694
28132,1341.7252835690974
28324,1336.41257449361
28516,1333.85473836033
30628,1328.2230627650608
33892,1326.3892960229512
34084,1324.0881049466789
34468,1321.1661119717246
41380,1318.0446605342422
44644,1311.386424365546
57316,1309.148551196025
57700,1301.9933782480525
58084,1301.4935931647358
58468,1298.2421854653714
61924,1293.1707216580817
63844,1286.2402681950211
71524,1282.5328376293503
73252,1282.5243066414323
73636,1282.509109138575
77860,1272.9649352480778
78628,1269.0344574976625
79204,1268.920993425135
79588,1266.8438806780764
86116,1265.9611528500627
89572,1265.9441991916087
89956,1258.6793456005196
98788,1254.8596854880186
98980,1254.3439151575635
122980,1251.742575631427
124324,1250.4058020051184
143140,1246.827351540769
250276,1246.332653525595
254884,1245.693641965318
267748,1244.6854113731283
272740,1244.384016782294
273124,1242.1922045997762
273892,1239.6197108623792
275044,1234.4488615291652
281188,1234.0673725019324
282916,1233.7513870469675
289444,1232.5501963732295
347620,1232.0905495552297
349156,1229.0766877886927
