Evaluations,BestCost
0,3383.638810449931
100,1604.0701565898298
292,1533.6325394874102
484,1492.1359582718244
676,1417.437266248983
868,1413.9994471209511
1060,1383.158285081749
1252,1379.9370425097204
1444,1367.0599000123952
1636,1362.9945560562423
1828,1359.8628426243336
2020,1350.9624019808311
2212,1346.4778958678817
2404,1345.167018878976
2596,1333.2256306917611
2788,1316.1331560913427
2980,1298.7414900539495
3172,1277.0326297328704
3364,1265.431978785869
3556,1261.587101047033
3748,1258.2446754319035
3940,1252.4621933357143
4132,1251.1873853583675
4324,1247.6044853712847
4516,1244.8903043904786
4708,1239.8446040325025
4900,1236.8444974355734
5092,1233.2615974484904
5284,1231.1246193288127
5668,1228.357815848859
5860,1227.9170583931534
6052,1226.913217775726
6244,1225.6384097983791
6436,1224.4668441452818
6820,1224.0260866895765
7012,1223.1685539736131
7972,1219.9208665157348
8164,1219.076340058905
8548,1216.769632855165
13924,1213.5886865956143
26596,1213.140823898395
26788,1212.2186789611333
27172,1210.9456581362217
27748,1210.3237307791992
37540,1209.6589790960013
37924,1208.6547986987728
38116,1206.3537086133651
305380,1205.2569557342174
