Evaluations,BestCost
0,3383.638810449931
100,1604.0701565898298
292,1593.7713283013602
484,1591.9099598911027
676,1578.3020210256057
868,1577.4574945687762
1060,1570.8049218151716
1252,1567.6732083832628
1444,1531.2629546777837
1636,1525.0008452052823
2020,1521.658419590153
2212,1519.797051179896
2404,1515.8390806774225
2596,1504.4330381089665
2788,1492.5695498553553
2980,1486.9191206188914
3364,1483.8381349812482
3748,1481.5314277775085
3940,1478.2382208067695
4324,1476.3421301853693
4900,1473.9771043734934
5284,1473.9551541298567
5476,1466.5961764805159
5860,1464.7380606545687
6244,1464.0862921289352
6628,1464.0643418852985
7012,1463.0924974450816
7204,1458.6773494673896
8356,1456.6758073231788
9124,1453.5656674007198
10852,1453.368061366736
12964,1452.388499718447
14308,1450.7157854235122
14500,1439.7147089790385
14884,1439.640881270034
15268,1437.4497918456104
15652,1434.7927182357073
16036,1434.2156667792374
16420,1434.1889114022026
17380,1431.4935838186739
17572,1427.1315467313186
17764,1425.0120664302453
17956,1418.504898939592
18148,1413.4628210667004
18532,1413.4628210667001
18724,1410.3470403099268
19108,1410.0369936045288
19492,1405.2838315312445
22948,1404.4188574428663
23716,1402.7969264585074
24292,1396.5352336559838
25060,1391.872855878352
25636,1390.895494089097
26020,1389.4852668181352
26404,1389.3229356023282
27748,1387.8205998257447
29668,1383.362017164853
30244,1383.0100611707828
31204,1377.9736326365094
31588,1375.6669254327692
31972,1374.8908947718576
33316,1374.3070095310068
35620,1372.1912991133581
40228,1372.122371419392
55396,1367.4769946781876
56932,1365.8033748071957
58084,1364.5765829584125
63268,1362.9518140881003
64228,1362.8785438509742
73060,1362.211496586324
73636,1359.101356663865
89956,1356.0896446060196
90916,1350.9571181108233
93028,1349.6391884892976
93988,1347.4379147508732
94180,1345.586310981568
95908,1344.518446591131
96292,1344.4610332862505
96484,1339.713272177809
96676,1338.2937948163424
100132,1337.0387929811193
100324,1335.1656935893495
100708,1326.9648221766038
101476,1325.514321988875
107620,1324.5983771376382
107812,1324.3926576752326
108964,1322.2330526689577
110308,1319.6341208120919
110884,1319.6341208120916
123172,1315.3952874309314
136228,1313.0098254849213
136420,1307.9636552062025
138148,1298.7172718855477
145636,1294.075457636349
149284,1292.7774065448832
149860,1276.730706606472
150052,1272.1818098240885
152548,1272.1818098240883
159844,1269.6431911167738
160612,1269.142242215972
171172,1264.7481332884756
182692,1263.9598971601301
182884,1263.95989716013
185572,1261.4589079945479
192292,1261.4205581381798
215140,1258.7581847346733
215908,1258.3201455669384
216292,1257.3648721484503
234532,1257.0764604648634
250852,1256.4374489045863
