Evaluations,BestCost
0,3439.169939204699
100,3248.5119980934246
292,3215.8488275165214
484,3122.3600738350615
676,3039.8722644578834
868,2988.669751184431
1060,2920.326965736061
1252,2915.772044557569
1444,2855.7564868867507
1636,2820.149973643593
1828,2762.3961118079255
2020,2706.9168796919625
2212,2670.929531514434
2404,2662.287716897619
2596,2601.6104084970666
2788,2588.276932742951
2980,2549.7450361750934
3172,2543.710288155989
3364,2532.6158746520987
3556,2520.738636315951
3748,2481.743310321369
3940,2437.030087815655
4132,2424.569723321444
4324,2408.2400332036914
4516,2389.6904520682338
4708,2377.121202668508
4900,2330.0233751101878
5092,2314.941151354188
5284,2301.17703058001
5476,2286.0948068240114
5668,2275.8678364392954
6052,2270.916303529102
6244,2248.4146912275264
6436,2240.524922997398
6628,2232.9399267540875
6820,2220.3039973215027
7012,2212.7395334762405
7204,2202.6807941279276
7396,2197.7726409437355
7588,2197.6273428039613
7780,2191.5770169617745
7972,2187.2103580422936
8164,2183.434764454246
8356,2176.5436756025183
8548,2167.1901791698638
8740,2160.8127926195975
8932,2141.1186647536324
9124,2132.663564940278
9316,2129.0642280550323
9508,2122.439929373239
9892,2122.160038612679
10084,2103.896867065513
10276,2098.731441770598
10468,2086.9567171337303
11044,2073.4512025831577
11428,2070.2542193710105
11620,2065.3437840433353
11812,2060.755895779001
12004,2057.1565588937556
12196,2053.7125755492184
12388,2053.3312445174242
12580,2038.6019719161181
12772,2021.752945823389
13156,2016.4412623341736
13348,2009.4572109749577
13540,2004.141459726268
13732,2000.3545575135367
14116,1996.0544476447012
14308,1985.3692125208674
14500,1967.7876399019488
14692,1963.5665555348482
14884,1954.9762155001472
15076,1954.6632143839388
15268,1953.081708033439
15652,1950.3416268873093
15844,1950.2643928242242
16036,1949.3436513512936
16228,1949.3436513512934
16420,1946.6605284996654
16612,1944.7719833637937
16804,1931.8775164803264
16996,1931.8775164803262
17188,1930.3837053366733
17572,1925.0720218474585
18532,1918.0524124124977
18724,1912.2368430371348
18916,1910.0083900616546
19300,1907.63129515306
19684,1901.445304553179
19876,1893.1951300187939
20260,1885.1700439560987
20452,1878.4528392291736
20644,1872.684758023971
21028,1868.2136215093387
21220,1858.211069559949
21412,1840.9866554437199
21796,1838.1755706935398
22180,1833.7214087194914
22372,1830.4740397589374
22756,1825.5469821791878
22948,1824.296066412244
23140,1818.7257032835898
23524,1816.3381187499078
23908,1814.1210169990625
24100,1813.2874727745664
24292,1811.2477469794524
24676,1810.5796784513902
25060,1809.7530915735226
25444,1808.707568065563
26020,1803.7277346960961
26404,1797.0019680076323
26788,1790.321740296068
27172,1788.34100834771
27364,1782.61958210751
27556,1781.934399743164
27940,1781.7073653169807
29092,1773.9135299851612
29668,1768.756934274851
29860,1764.124826354544
31012,1760.9644317993998
32164,1752.5078279299453
32548,1751.289092853858
33508,1746.8611708527637
33700,1735.3707200403776
33892,1734.5441331625104
34084,1730.1162111614162
35620,1728.014416088371
36388,1724.2556105349015
36772,1724.2556105349013
37156,1720.386653714398
37540,1717.3183732743933
37924,1714.2332389157532
38308,1713.8609943418983
38692,1713.7583402202813
40228,1712.4736239257863
