Evaluations,BestCost
0,3439.169939204699
100,3248.5119980934246
292,2889.595914504707
484,2618.078328325341
676,2458.0585285445
868,2300.0120848361657
1060,2233.2640083716024
1252,2122.5675298161996
1444,2015.1062000755694
1636,1950.000592110319
1828,1916.7024128853338
2020,1876.1787343414708
2212,1855.8481693919878
2404,1822.195357859092
2596,1789.379631968893
2788,1756.7863128122808
2980,1704.4448025533056
3172,1651.7159274186943
3364,1637.49409141277
3556,1610.483468380231
3748,1573.2659354600216
3940,1564.2013044781938
4132,1545.0074290939792
4324,1529.4088964790349
4516,1507.7409761673514
4708,1501.359068396681
4900,1484.654304386097
5092,1470.352842939667
5284,1466.7566507581096
5476,1458.7565715972062
5668,1451.1523831502661
5860,1414.272176377528
6052,1405.2983868402018
6244,1384.2214368612172
6436,1363.9120099980885
6628,1356.5372581934064
6820,1345.8933772044427
7012,1336.8400008778742
7204,1332.4263168065866
7396,1329.558766496676
7588,1322.6080344971224
7780,1320.9547502880976
7972,1315.3326156124663
8164,1312.460637216129
8356,1308.522269429888
8548,1304.3744675086464
8740,1295.8983388524582
8932,1288.6934303250152
9124,1274.9458250108314
9316,1267.9954607420234
9508,1264.5454334354986
9700,1255.5215952820497
9892,1250.4989717489116
10084,1243.7785206815329
10276,1236.6126324223296
10468,1234.9787875947864
10660,1229.3616470850327
10852,1228.018336513173
11044,1227.0560214695804
11236,1225.828264116369
11428,1221.8245138613113
11812,1219.0192076169683
12004,1218.031207057952
12196,1217.780740324783
12388,1216.1775477657975
12580,1199.9151064537557
12772,1199.5190647916563
12964,1199.3606990787885
13156,1198.2295280740188
13348,1196.6511906105593
13540,1194.858407793744
13732,1193.7272367889743
14308,1193.6037651882614
14692,1193.4483961310289
15076,1193.2942482038666
21988,1189.194612726987
22564,1188.6965678179438
22756,1187.0170230432568
22948,1184.771666380792
23140,1184.6961981566162
23908,1184.6281635448677
24100,1184.6281635448674
30436,1183.5900954629935
41188,1183.0620827228681
41380,1182.107636786385
50788,1178.5193852809418
51748,1175.7086740400866
52132,1175.677685207864
52708,1174.8913210569215
61156,1173.7436970107603
84772,1166.0594422675306
98596,1165.6746780551598
99364,1161.9930887352125
138340,1161.388552267508
