Evaluations,BestCost
0,1420.2956202158089
100,1117.9068586709202
292,1058.6930281736109
484,1028.535711818049
676,944.4665830549462
868,923.3304804443594
1060,882.3547029304136
1252,854.921448957316
1444,812.046532874609
1636,788.7855801855463
1828,765.7445688576154
2020,744.09656099104
2212,724.8000853117609
2404,721.2969495101627
2596,705.1491325882942
2788,673.5660129702474
3172,672.5897861467005
3364,652.2906281119863
4516,643.0969236106005
5284,606.2413669479513
5668,591.8708736537594
6052,573.6290926582402
8164,568.5625010705219
