Instance,Configuration,Cost,TimeMs,BestEval
A-n32-k5,baseline,828.7018647083812,626,276004
A-n32-k5,nn,816.4609002520601,607,156004
A-n32-k5,sa,981.2601095312788,3465,17380
A-n32-k5,lns,831.1704542230161,920,177892
A-n32-k5,nn_sa,910.0934074748882,2785,85924
A-n32-k5,nn_lns,797.4512901189912,683,10084
A-n32-k5,sa_lns,832.8181844162851,3109,12004
A-n32-k5,all,797.4512901189912,2714,30436
A-n33-k5,baseline,726.8470717224585,403,33316
A-n33-k5,nn,674.7164720296756,415,42532
A-n33-k5,sa,776.553817675636,2236,302500
A-n33-k5,lns,676.4400403606919,641,257572
A-n33-k5,nn_sa,683.9134323435884,2081,14500
A-n33-k5,nn_lns,676.4400403606919,670,42724
A-n33-k5,sa_lns,674.7164720296755,2691,105700
A-n33-k5,all,693.6305080366133,2769,235684
A-n33-k6,baseline,860.9649867585078,534,38692
A-n33-k6,nn,743.0040153132568,484,74596
A-n33-k6,sa,792.3620435092947,1931,70948
A-n33-k6,lns,759.546539714634,678,81892
A-n33-k6,nn_sa,743.0040153132568,1779,83812
A-n33-k6,nn_lns,742.6932623609396,676,278692
A-n33-k6,sa_lns,748.3875329315445,2022,34852
A-n33-k6,all,742.6932623609396,1862,81892
A-n34-k5,baseline,920.1122928460755,468,185188
A-n34-k5,nn,800.272311722737,373,10852
A-n34-k5,sa,824.3734170538761,2457,196900
A-n34-k5,lns,798.3285187681107,692,8356
A-n34-k5,nn_sa,810.2810948658063,2544,68452
A-n34-k5,nn_lns,787.430439254024,675,54820
A-n34-k5,sa_lns,790.3699247604744,2602,84196
A-n34-k5,all,797.8376822352502,2608,1444
A-n36-k5,baseline,869.2689150735513,394,313828
A-n36-k5,nn,856.4039092684861,495,219556
A-n36-k5,sa,875.3255751534757,2999,349732
A-n36-k5,lns,835.931885740676,690,312292
A-n36-k5,nn_sa,873.4559654666075,3194,345892
A-n36-k5,nn_lns,830.3583087308158,924,2020
A-n36-k5,sa_lns,898.379592296622,3894,35812
A-n36-k5,all,826.6291580641487,3543,7204
A-n37-k5,baseline,705.9952411088422,371,29092
A-n37-k5,nn,706.4398664303351,467,48292
A-n37-k5,sa,719.7889365282438,3929,181732
A-n37-k5,lns,711.5489964227846,728,330148
A-n37-k5,nn_sa,706.9487717316948,4848,14116
A-n37-k5,nn_lns,696.6588962743037,883,87652
A-n37-k5,sa_lns,709.7693484914355,4184,55396
A-n37-k5,all,706.4398664303351,4765,114340
A-n37-k6,baseline,1064.1574279533656,443,26788
A-n37-k6,nn,1058.1009764492858,427,37156
A-n37-k6,sa,995.7325843064382,2446,71716
A-n37-k6,lns,984.3578052001261,649,237604
A-n37-k6,nn_sa,1025.6611067938652,2075,156580
A-n37-k6,nn_lns,977.9784973995854,695,149284
A-n37-k6,sa_lns,1034.5069478264618,2432,64036
A-n37-k6,all,977.9784973995854,2520,55396
A-n38-k5,baseline,828.23949266331,449,320164
A-n38-k5,nn,851.4892571224257,476,6052
A-n38-k5,sa,842.3183645301787,3436,324004
A-n38-k5,lns,744.7666557455984,729,179236
A-n38-k5,nn_sa,873.5674663881387,3116,22756
A-n38-k5,nn_lns,762.0435149637461,598,265252
A-n38-k5,sa_lns,791.8066545001461,3369,84964
A-n38-k5,all,770.2437263938061,3263,293668
A-n39-k5,baseline,964.7987614070557,431,126820
A-n39-k5,nn,870.0412956618916,500,221284
A-n39-k5,sa,937.4551899275141,3566,340516
A-n39-k5,lns,853.7920234837436,718,37732
A-n39-k5,nn_sa,864.2999371073729,3588,240100
A-n39-k5,nn_lns,838.2475250085638,751,19684
