Instance,BestCost,MeanCost,StdDevCost,MeanFE,MeanGenerations,Satisfability
A-n32-k5,787.0818888551103,813.3705127753489,24.0428318041958,164536.0,853.0,31/31
A-n33-k5,668.6560897884364,675.3459278587413,7.016832893066737,72924.4,368.8,32/32
A-n33-k6,744.2417504053847,748.0501859524072,3.730655934444098,75577.6,382.2,32/32
A-n34-k5,788.796086486464,792.611306193205,4.421788756809548,60980.0,305.4,33/33
A-n36-k5,813.4702041601292,823.8246107881453,13.436998954318941,65385.8,332.4,35/35
A-n37-k5,672.4652201521651,690.4157137809086,13.147648122507691,81162.4,423.2,36/36
A-n37-k6,999.8036296474579,1024.521934853397,28.17867048238613,46892.8,233.8,36/36
A-n38-k5,771.597754326071,808.0516523317048,41.291439341763706,97464.0,483.0,37/37
A-n39-k5,845.0846228099024,869.7920080931647,21.592671920755564,130870.6,651.6,38/38
A-n39-k6,835.4425323771892,855.9038356521836,26.36697060068169,133823.6,679.8,38/38
A-n44-k6,948.0267842692173,997.5238166046569,36.720074748399405,115634.8,575.8,43/43
A-n45-k6,1053.9943651629492,1122.2763148884644,46.14666217660684,76092.4,377.2,44/44
A-n45-k7,1154.4189112013298,1183.7932738667619,19.52564966335889,166543.6,837.4,44/44
A-n46-k7,918.1274159063337,931.8365056866775,19.123849574250034,145610.4,743.4,45/45
A-n48-k7,1105.6570951775493,1148.414943290833,37.533039469821944,85477.6,432.2,47/47
A-n53-k7,1081.666674700228,1127.757003737993,40.938338621030155,135172.0,673.0,52/52
A-n54-k7,1240.9179690588508,1268.4177288605024,22.98792330670631,55205.6,273.8,53/53
A-n55-k9,1107.0590171175622,1143.962344129603,36.65161673936531,116780.0,584.4,54/54
A-n60-k9,1463.5693156043635,1468.2935229095747,5.420190218699343,161140.0,806.2,59/59
A-n61-k9,1140.2603149581091,1167.4214068799158,16.79917658396207,171194.0,848.0,60/60
A-n62-k8,1354.8137566354842,1396.7661427955463,37.53994918203221,185170.0,931.0,61/61
A-n63-k10,1347.8061848210427,1392.9337702547487,41.91251089607697,85940.0,430.2,62/62
A-n63-k9,1690.5763421859394,1771.1380031540684,46.05210877804895,180970.8,896.4,62/62
A-n64-k9,1453.6428474781108,1526.5431031664414,54.912562919842195,68600.8,341.8,63/63
A-n65-k9,1263.1532729983994,1340.366086094249,63.97036027586745,148650.8,736.4,64/64
A-n69-k9,1229.5742923375074,1256.3475371734517,20.101683786584633,76319.2,380.2,68/68
A-n80-k10,1891.0889209189595,1947.3992716564856,54.064486506179115,88861.6,442.6,79/79
B-n31-k5,676.0884122584414,681.1704357376127,5.862237772962232,102891.8,533.6,30/30
B-n34-k5,789.8408678128492,793.2631630756903,3.873669952673439,124713.8,627.2,33/33
B-n35-k5,965.1926944429623,980.3201711878279,13.309523762387466,21346.4,109.4,34/34
B-n38-k6,808.7026097356141,819.1190778416186,12.314308758501802,58483.0,300.4,37/37
B-n39-k5,553.1564551229109,579.823965093289,20.400887627570437,141467.2,718.6,38/38
B-n41-k6,848.1278610436134,868.1947559379448,24.17108637603944,84077.8,418.8,40/40
B-n43-k6,755.2462984917727,768.84811666916,12.522599988844306,94611.2,483.2,42/42
B-n44-k7,939.5908675154456,976.4421288083174,32.85156035262814,122684.0,617.0,43/43
B-n45-k5,786.1940712314284,825.0908194294547,53.50722724917807,107119.6,530.8,44/44
B-n45-k6,734.7344795437668,763.1833333931088,29.984367671205895,79526.4,394.2,44/44
B-n50-k7,744.2280442400831,749.3336822937176,5.800308577101813,70307.2,359.2,49/49
B-n50-k8,1331.558854949252,1334.98951045436,2.9922123711836917,92953.4,467.6,49/49
B-n51-k7,1091.7070105808236,1153.265732739786,35.37409656134768,83202.8,412.4,50/50
B-n52-k7,752.1307010572057,775.0910705032351,42.118048099920685,144787.2,739.2,51/51
B-n56-k7,719.8355045105772,743.4245279976816,28.859474289841945,26892.0,137.0,55/55
B-n57-k7,1146.8003642136111,1260.7369832213788,160.8584116264721,35813.6,177.8,56/56
B-n57-k9,1617.2167931160695,1648.59280802633,33.82055025928901,109475.2,553.4,56/56
B-n63-k10,1562.744911771106,1638.3915161076297,57.65552175007185,72380.0,362.4,62/62
B-n64-k9,981.4004578310931,1016.2332596849446,27.117589282202,145257.2,719.6,63/63
B-n66-k9,1430.3165061253753,1444.0522178140418,19.472227772937607,153781.6,761.8,65/65
B-n67-k10,1081.7676510073634,1131.1499966811145,65.1111622434322,94067.8,473.2,66/66
B-n68-k9,1301.7365592978085,1341.218281454478,41.96207774931247,101340.0,507.2,67/67
B-n78-k10,1290.718677264677,1346.5278089401495,56.49684293833812,224134.6,1115.6,77/77
E-n101-k14,1165.739431868347,1217.4456799784004,68.63660114739088,121340.0,607.2,100/100
E-n101-k8,875.4014922660498,903.8697896909664,24.198058853828957,122087.0,614.0,100/100
E-n22-k4,375.2797871480125,384.83982516941313,6.866865229967921,148639.0,740.0,21/21
E-n23-k3,568.5625010705219,568.5625010705219,0.0,4516.0,24.0,22/22
E-n30-k3,538.7946864904361,541.5769135416533,3.8097212901317987,120378.4,599.4,29/29
