Instance,BestCost,MeanCost,StdDevCost,MeanIterations,Satisfability
A-n32-k5,787.0818888551103,806.4045116678474,20.353185690589566,38461.6,31/31
A-n33-k5,671.7860901384514,676.1268852909191,2.609804095750266,81392.8,32/32
A-n33-k6,743.4414856895312,755.5167036676719,14.13969048920313,135037.6,32/32
A-n34-k5,787.430439254024,797.6820949751624,14.615733832391596,80740.0,33/33
A-n36-k5,818.3925028947726,831.2159153176062,11.981977101288411,89840.8,35/35
A-n37-k5,672.4652201521651,682.1284442402406,10.77259742610075,57008.8,36/36
A-n37-k6,996.6548198795851,1016.0319943977307,18.487896939858395,113072.8,36/36
A-n38-k5,759.2803274313436,786.7004759618914,19.154778636019557,72061.6,37/37
A-n39-k5,841.2532953315203,860.3151762568028,13.877584951358523,159229.6,38/38
A-n39-k6,836.0019282037495,862.771385023877,19.305282780647556,175472.8,38/38
A-n44-k6,948.0267842692173,977.1550132120672,24.89439677330193,106352.8,43/43
A-n45-k6,966.7150558159587,1108.7724814539447,72.9622534869181,121328.8,44/44
A-n45-k7,1174.3055642084028,1184.7873082565686,12.54973192744123,100669.6,44/44
A-n46-k7,926.0129457420799,1002.4400824394364,41.133140051476346,151165.6,45/45
A-n48-k7,1112.2085689598548,1139.0766482234571,26.093630109006018,187223.2,47/47
A-n53-k7,1099.0660938182257,1109.1920933471224,12.081929199184788,96829.6,52/52
A-n54-k7,1218.3697617778369,1249.9294094574914,29.387247753749644,144829.6,53/53
A-n55-k9,1082.5399901484213,1126.6132005740774,24.669465048083037,54128.8,54/54
A-n60-k9,1423.9770987256397,1460.4921583271343,37.38348777649761,148554.4,59/59
A-n61-k9,1098.3144965111112,1154.7378458046087,39.89703410395156,223895.2,60/60
A-n62-k8,1360.2964934676463,1377.426736096941,15.131601175655925,208688.8,61/61
A-n63-k10,1351.1367738775689,1411.2213712390305,34.639448812465076,176816.8,62/62
A-n63-k9,1690.5692584139524,1731.2856520835114,28.900781396183554,114032.8,62/62
A-n64-k9,1443.7032950634425,1487.7880440405975,29.771062700164986,140874.4,63/63
A-n65-k9,1255.5148715419384,1282.1365440893676,41.06419296802884,107658.4,64/64
A-n69-k9,1194.0611447052813,1224.0538160759158,20.4232929680205,195824.8,68/68
A-n80-k10,1866.3552720721352,1939.7748071375433,53.601326547408426,219172.0,79/79
B-n31-k5,677.1555944548586,681.0484109347893,3.224782502385473,112228.0,30/30
B-n34-k5,790.0603505793069,792.3104691235806,4.500237088547374,10084.0,33/33
B-n35-k5,971.1785923870907,981.1029001901454,7.424592746514235,38077.6,34/34
B-n38-k6,808.7026097356143,826.1750180779857,13.321890583571907,36464.8,37/37
B-n39-k5,553.1564551229109,557.2522499021686,4.971338083244039,65188.0,38/38
B-n41-k6,844.6931672023675,904.6545285184609,36.6209719788306,158039.2,40/40
B-n43-k6,748.1126227363916,758.2832798089328,9.896278017906404,121098.4,42/42
B-n44-k7,929.3894919795048,963.999857484011,24.46337687247952,147364.0,43/43
B-n45-k5,763.200623563415,801.6382245690072,25.060818818291843,149798.4,44/44
B-n45-k6,717.9094085124392,744.53706040245,23.59351041862005,137341.6,44/44
B-n50-k7,745.170983365726,750.5763958050037,5.723253241533968,178160.8,49/49
B-n50-k8,1327.648980290783,1333.5416903462215,5.518037024033067,127818.4,49/49
B-n51-k7,1110.279692250968,1141.0775709822974,22.280496016524623,122864.8,50/50
B-n52-k7,754.1343315486831,757.8849034536015,2.552521420574143,155120.8,51/51
B-n56-k7,731.546293584546,746.1404490340267,9.37775305147557,152932.0,55/55
B-n57-k7,1143.3283981339478,1148.2838990172909,4.044784030841822,204887.2,56/56
B-n57-k9,1615.7446545319126,1672.2299006157307,33.64827210410507,114724.0,56/56
B-n63-k10,1569.9964644950248,1605.1883054419363,21.32746221424773,115568.8,62/62
B-n64-k9,932.5774953415662,953.7961561528821,19.11238325375477,146173.6,63/63
B-n66-k9,1351.4416037389562,1385.5112982648413,25.55764841415327,103165.6,65/65
B-n67-k10,1072.510338473573,1091.9935986310425,12.666674007646334,104509.6,66/66
B-n68-k9,1302.100396535822,1355.1365719595765,48.57758823893691,210916.0,67/67
B-n78-k10,1258.8873406588727,1312.9560168802332,46.54299399140001,166103.2,77/77
E-n101-k14,1180.9685938736825,1203.1165126219098,21.939136699908403,139261.6,100/100
E-n101-k8,829.6293132453744,884.8374704519047,47.691463154522275,138186.4,100/100
E-n22-k4,375.2797871480125,382.9082432594174,4.020622640173694,36311.2,21/21
E-n23-k3,568.5625010705219,568.5625010705219,0.0,7319.2,22/22
E-n30-k3,538.7946864904361,541.3069152221367,5.024457463401132,76055.2,29/29
E-n33-k4,842.9898296434305,865.2306616267576,16.119607196736666,70640.8,32/32
E-n51-k5,570.5678621786927,590.8935792499,18.86553832409435,96253.6,50/50
E-n76-k10,945.5762854970878,972.4409630021357,22.00721634710291,178621.6,75/75
E-n76-k14,1114.8171716670422,1167.8965928609202,33.641890879924986,186685.6,75/75
E-n76-k7,700.4068002000099,746.4238166646433,35.6089170733891,176586.4,75/75
E-n76-k8,769.8388862535585,799.2756453225886,17.79112541927901,170557.6,75/75
P-n101-k4,714.1480100205581,742.292680946287,20.763355724703953,176394.4,100/100
P-n16-k8,451.33508020861797,451.335080208618,5.684341886080802E-14,92797.6,15/15
P-n19-k2,212.6569041858923,215.91177838015818,4.04028582261828,22717.6,18/18
P-n20-k2,217.41558334616656,218.13023178945681,0.3573242216451263,1290.4,19/19
P-n21-k2,212.71153970290385,212.71153970290385,0.0,1213.6,20/20
P-n22-k2,217.85215074022966,217.85215074022966,0.0,2557.6,21/21
P-n22-k8,588.7935242586069,608.9461129334925,28.780648307642466,34276.0,21/21
P-n23-k8,531.1738035458812,533.301311100782,1.0637537774503927,28861.6,22/22
P-n40-k5,462.92610538419655,481.04238503636986,18.04019216914075,48676.0,39/39
P-n45-k5,512.7913045095214,533.7364926539307,13.325022565216678,90071.2,44/44
P-n50-k10,718.2779965508608,750.6672727909188,20.67602167598373,177047.2,49/49
P-n50-k7,563.9413207369349,574.9692392680272,10.788414235034619,132196.0,49/49
P-n50-k8,642.362236757,651.5884763645247,7.128818568932535,56010.4,49/49
P-n51-k10,777.5740238049267,811.1351332520351,27.36541794697965,78704.8,50/50
P-n55-k10,715.7977646039016,724.3404212123771,8.61746288201883,199088.8,54/54
P-n55-k15,965.9963374584851,971.952966996501,6.99164079018015,197284.0,54/54
P-n55-k7,586.265897459936,604.4112423380833,12.7897899512689,139607.2,54/54
P-n55-k8,601.658776268586,623.8060820324843,18.38330165187801,135690.4,54/54
P-n60-k10,773.1673254212334,802.5929740946747,20.77790466139345,119255.2,59/59
P-n60-k15,1002.5946188449523,1032.9693635292563,27.57458432986913,102128.8,59/59
P-n65-k10,806.4451756569722,836.4168420404918,21.702767791291592,131965.6,64/64
P-n70-k10,926.8485882934287,951.3966699778537,14.586411753367598,214832.8,69/69
P-n76-k4,666.075194673514,696.995948343477,30.436037083578682,99248.8,75/75
P-n76-k5,671.7597352707628,712.3868384166608,31.78359065287073,124477.6,75/75
