Instance,BestCost,MeanCost,StdDevCost,MeanFE,MeanGenerations,Satisfability
A-n45-k7,1154.4189112013298,1183.7932738667619,19.52564966335889,166543.6,837.4,44/44
A-n60-k9,1463.5693156043635,1468.2935229095747,5.420190218699343,161140.0,806.2,59/59
A-n80-k10,1891.0889209189595,1947.3992716564856,54.064486506179115,88861.6,442.6,79/79
B-n56-k7,719.8355045105772,743.4245279976816,28.859474289841945,26892.0,137.0,55/55
B-n66-k9,1430.3165061253753,1444.0522178140418,19.472227772937607,153781.6,761.8,65/65
B-n78-k10,1290.718677264677,1346.5278089401495,56.49684293833812,224134.6,1115.6,77/77
E-n101-k14,1165.739431868347,1217.4456799784004,68.63660114739088,121340.0,607.2,100/100
E-n76-k8,816.8673279567386,838.0687788021684,14.254309104527277,167332.0,833.0,75/75
P-n101-k4,705.7107593626904,729.6577085325059,22.74235238859642,218721.4,1099.6,100/100
P-n50-k10,718.3094216109208,761.6411824057308,27.948299874626585,171880.8,851.4,49/49
